"UniDiveNum","Squid","DepthOMZ","Temp25m","UIwin","NOI","DayL","Strat","LatN","Hake","Loligo","Myct","SqMonth","SqYear","Distkm","ROV_ID","SquidCount","Effort","PDO","NPGO","LonW","DepthOLZ","tcline","tcstren","tcval","tcoxy","ocline","ocval","ocstren","octemp","date","month"
1321.1,0,620.69,15.143,2339,-4.213,12.01,30,36.714,24.444,1.92,18.156,9,1997,2.238,1,0,1.796,2.19,-0.4815,-122.051,333.57,30,0.294508925715591,14.8366054103002,6.21352760826071,143,4.08447969930279,0.215874628791419,10.5498857525638,1997-08-31,9
47.2,0,498.72,13.265,2477,-1.741,11.488,34,36.707,0,1.029,4.278,10,1997,0.588,2,0,3.233,1.61,-0.5943,-122.012,347.35,22,0.320372031893967,13.4471741943692,4.99255922461174,97,3.35672285518484,0.301786844304933,10.9821858657816,1997-09-30,10
1335.1,0,638.995,16.04,2185,-1.741,10.801,33,36.713,7.129,0,46.602,10,1997,2.327,1,0,0.708,1.61,-0.5943,-122.05,410.465,29,0.34111231125539,15.5486863809672,5.77998511070106,138,3.92734371020759,0.151008434129094,11.0537645619329,1997-09-30,10
1334.1,0,505.65,15.642,2161,-1.741,10.838,65,36.716,2.286,0,0,10,1997,2.037,1,0,1.525,1.61,-0.5943,-122.054,343.88,58,0.270308092308716,14.5232475373545,5.36775187411503,195,2.94598490823898,0.106460524598173,9.78083227139926,1997-09-30,10
49.2,0,472.375,14.9445,2418,-1.741,11.45,47,36.716,0,0,31.111,10,1997,2.306,2,0,0.321,1.61,-0.5943,-122.034,319,44,0.484015715080372,13.8039845624442,5.06063889627338,27,5.62618033648927,0.158353769078809,14.8954839881219,1997-09-30,10
1343.1,0,583.17,16.837,448,-8.608,10.105,75,36.717,0.289,1.678,0.586,11,1997,2.218,1,0,3.333,1.12,0.174,-122.064,389.16,76,0.349542347608324,15.1324306875904,5.50234925850774,198,2.99750310219475,0.11548620684234,9.61363947380216,1997-10-31,11
1342.1,0,593.67,17.254,465,-8.608,10.133,75,36.722,6.809,15.135,15.67,11,1997,2.656,1,0,1.033,1.12,0.174,-122.076,379.26,72,0.400014254249138,15.9533115217588,5.3987190741565,119,4.46323711841364,0.149286766964092,12.2150356221379,1997-10-31,11
1352.1,0,607.52,16.208,-1133,-2.092,9.645,94,36.718,3.2,0,8.889,12,1997,2.278,1,0,0.475,0.67,0.2607,-122.067,NA,130,0.360747657532715,12.5465621148006,4.25558026847745,135,4.04052868165986,0.191116141750162,12.1409765130956,1997-11-30,12
1555.1,0,472.675,11.097,1022,4.302,9.52,49,36.699,0,0,10,13,1998,1.916,1,0,0.446,-0.32,1.0828,-122.044,311.27,42,0.156636556996795,10.8899637588596,4.76477583855114,42,4.76477583855114,0.562258184899602,10.8899637588596,1997-12-31,1
1553.1,0,488.765,11.52,1108,4.302,9.512,94,36.705,8.205,0,0,13,1998,2.757,1,0,1.396,-0.32,1.0828,-122.049,314.94,88,0.166631358998075,10.5723762332351,3.73852819593807,32,7.82625951648867,0.758634047208969,11.5657887372989,1997-12-31,1
1382.1,0,541.94,12.5365,2810,-3.578,11.977,64,36.771,0,0,0,3,1998,0.737,1,0,2.087,2.01,0.8933,-122.008,342.29,54,0.250460413226419,11.4657849764626,3.97048003262414,34,4.7814703374059,0.191120306125144,12.4369356392146,1998-02-28,3
1400.1,0,496.34,12.9235,2689,-2.547,13.328,88,36.699,249.863,0,0,5,1998,1.411,1,0,0.412,0.7,0.2776,-122.031,347.745,22,0.335504036168527,13.0610385617645,5.93280015358534,77,4.46001476790098,0.304445032502922,10.6628038176947,1998-04-30,5
1413.1,0,500.01,10.95,2869,-2.547,14.023,32,36.702,0,0,0,5,1998,1.691,1,0,0.446,0.7,0.2776,-122.028,282.72,22,0.299896916392386,11.3543869938991,4.37845373150732,22,4.37845373150732,0.226717779148581,11.3543869938991,1998-04-30,5
1414.1,8.5714,526.05,11.568,2840,-2.547,14.072,62,36.714,0,0,20.94,5,1998,2.56,1,7,0.817,0.7,0.2776,-122.035,290.45,26,0.462942643106347,11.8982560598426,4.83673657464868,34,4.34739032275342,0.275213122393464,11.0835084249542,1998-04-30,5
1437.1,0,520.31,11.1125,4155,0.856,14.422,20,36.616,26.129,0,19.245,7,1998,0.549,1,0,0.812,-0.04,0.3932,-122.039,272.41,22,0.378855405609875,11.3556731041392,4.75273984227838,23,4.66319581864947,0.350733071993334,11.2745624061418,1998-06-30,7
1438.1,0,529.02,11.344,4171,0.856,14.41,39,36.626,12.973,0,31.15,7,1998,0.146,1,0,1.329,-0.04,0.3932,-122.038,302.75,42,0.191650850564563,10.7084999157383,3.98120201185415,44,3.80140878874929,0.370721059378474,10.6164172450737,1998-06-30,7
1450.1,0,531.495,13.556,3298,0.856,14.144,69,36.706,0,0,2.133,7,1998,3.094,1,0,0.992,-0.04,0.3932,-122.057,296.305,22,0.272844364355746,13.7505187258096,5.68437600629959,67,4.11362060165296,0.229585249568378,11.6219517014033,1998-06-30,7
1436.1,0,511.44,11.955,4107,0.856,14.441,49,36.708,0,0,2.449,7,1998,2.82,1,0,0.512,-0.04,0.3932,-122.05,250.55,40,0.335376850299119,11.0207196611314,3.96869833784217,33,4.70403296350609,0.48552797031223,11.4413096281334,1998-06-30,7
1449.1,0,524.465,14.264,3449,0.856,14.167,36,36.713,0,0,121.212,7,1998,2.517,1,0,0.629,-0.04,0.3932,-122.06,304.43,52,0.302782619808204,12.5827727162568,5.03190281057425,54,4.90210413512207,0.275701734067916,12.4413173329163,1998-06-30,7
1465.1,0,468.465,11.973,2913,1.579,13.356,15,36.624,0,0,0,8,1998,0.175,1,0,1.433,-0.22,0.2727,-122.039,308.1,22,0.163349643485192,12.2824344351299,3.94658777945185,22,3.94658777945185,0.288781242608493,12.2824344351299,1998-07-31,8
1457.1,31.2329,501.49,15.048,2353,1.579,13.85,62,36.703,6.545,4.615,285,8,1998,3.469,1,19,0.608,-0.22,0.2727,-122.063,282.33,41,0.655087025465068,13.0646836307934,4.38513035107142,39,4.50636270677155,0.25911038820671,13.3662441533573,1998-07-31,8
1464.1,1.1163,462.62,13.529,2898,1.579,13.395,33,36.71,0,0,0,8,1998,2.71,1,2,1.792,-0.22,0.2727,-122.054,303.04,28,0.269205202499062,13.347711363241,4.21181672540926,35,3.87222128380671,0.218688110126986,12.9282130738121,1998-07-31,8
1479.1,0,456.82,14.773,2646,-1.561,12.802,17,36.7,0,0,135.789,9,1998,2.791,1,0,0.408,-1.21,0.0445,-122.056,243.66,31,0.320447269837959,14.0835291788805,3.87314445256811,41,3.60314644938648,0.123679653834515,13.3821547180856,1998-08-31,9
1489.1,6.3158,465.49,13.309,2186,-1.561,12.011,18,36.708,0,0,0.525,9,1998,2.856,1,7,1.108,-1.21,0.0445,-122.046,302.94,22,0.626402980132084,13.6170368497366,4.5741621326333,22,4.5741621326333,0.322571824971922,13.6170368497366,1998-08-31,9
1488.1,0,475.45,13.348,2186,-1.561,12.05,20,36.709,0,0,0,9,1998,2.755,1,0,0.396,-1.21,0.0445,-122.049,323.61,22,0.566891383753668,13.6108539459503,2.83958354757812,165,2.19438307334014,0.139814764784661,9.67037510887687,1998-08-31,9
1528.1,22.1053,497.33,12.688,2357,0.938,10.449,86,36.704,0,0,0.513,11,1998,3.488,1,56,2.533,-0.52,0.7174,-122.063,379.605,44,0.220587242484017,11.9421769507987,5.22072611898309,47,5.02363768546652,0.289136389928949,11.7923791478877,1998-10-31,11
1521.1,71.4894,469.85,12.492,2498,0.938,10.728,46,36.709,0,0,3.288,11,1998,2.826,1,28,0.392,-0.52,0.7174,-122.046,261.21,47,0.246972513444423,11.7069230188632,3.51767841891165,19,3.91598358557044,0.465574955659616,12.5234752574075,1998-10-31,11
1541.1,0,486.04,12.188,1205,8.101,9.647,91,36.707,2.474,60,14.694,12,1998,2.935,1,0,0.471,-0.44,0.7688,-122.049,330.25,60,0.229732215710586,11.4398358893237,4.57351896465786,22,4.74147176228079,0.685730963506534,12.200378446853,1998-11-30,12
1543.1,0,492.63,11.923,1434,8.101,9.588,45,36.709,1.173,0.862,0,12,1998,2.789,1,0,1.667,-0.44,0.7688,-122.051,313.45,46,0.174394299376421,11.2678115080568,4.00485158089295,101,2.99188916218332,0.117127099500994,9.97264913644876,1998-11-30,12
1542.1,0,461.98,12.144,1445,8.101,9.594,75,36.792,189.421,3.582,0,12,1998,0.065,1,0,0.721,-0.44,0.7688,-122.009,252.58,56,0.216877797050572,11.035908581665,4.58928498915213,77,3.88280823211482,0.21352987199553,10.2555043784505,1998-11-30,12
105.2,0,447.81,10.9615,1160,0.929,9.568,27,36.7,0,0,0,13,1999,2.387,2,0,0.758,-2,1.4045,-122.05,297.045,203,0.0965934677635144,8.61318878323749,2.62540817564184,22,5.83901169845082,0.165618071651956,10.9894986203658,1998-12-31,1
103.2,0,598.32,11.165,1421,0.929,9.555,74,36.702,1.079,1.915,9.742,13,1999,2.59,2,0,3.021,-2,1.4045,-122.05,376.08,71,0.13016956355051,10.5856657162884,5.5392123605891,86,4.56537276302893,0.37449935245588,10.1709059999239,1998-12-31,1
109.2,0,556.84,12.5845,-943,-4.992,10.631,77,36.583,0,0,0,14,1999,32.584,2,0,0.375,-0.83,2.1235,-122.517,373.61,91,0.195994945253535,10.7309756703658,5.02302879906776,135,3.209505920042,0.233302702756575,9.12361271077736,1999-01-31,2
110.2,0,537.04,12.685,-1052,-4.992,10.666,70,36.583,0,0,0,14,1999,32.567,2,0,0.346,-0.83,2.1235,-122.516,366.57,58,0.226809231124247,11.8830631861866,5.85330647009416,90,5.03940187810174,0.119421886950818,10.5605126547232,1999-01-31,2
108.2,0,562.63,12.754,-990,-4.992,10.603,97,36.585,0,0,0,14,1999,32.508,2,0,1.338,-0.83,2.1235,-122.517,384.41,46,0.253949961166593,12.2335607303075,5.7618301211728,97,4.28078336294374,0.17777116371896,10.0411944995993,1999-01-31,2
112.2,0,564.315,12.7785,-1209,-4.992,10.735,98,36.696,0,0,0,14,1999,1.333,2,0,0.854,-0.83,2.1235,-122.037,339.52,133,0.279498185164218,10.2500788271569,4.35846301777153,115,5.3776961807189,0.313547863046861,11.2946876617524,1999-01-31,2
1716.1,0,478.07,12.497,-558,-4.992,10.111,76,36.702,4.045,11.538,0,14,1999,3.005,1,0,1.146,-0.83,2.1235,-122.057,250.9,68,0.185383419158225,11.6062877195736,4.05845769251454,22,4.71954582164559,0.237767985916336,12.4838665623869,1999-01-31,2
1715.1,0,518.72,12.461,-508,-4.992,10.081,94,36.722,74.483,0,45.517,14,1999,2.092,1,0,0.321,-0.83,2.1235,-122.023,268.94,56,0.150662195533133,11.9394998091083,3.92998249816094,151,2.69189588896796,0.100606568814461,9.69436640151991,1999-01-31,2
1575.1,0,586.29,10.3005,2540,0.822,11.184,20,36.707,181.277,0,19.091,3,1999,2.873,1,0,0.5,-0.33,1.9743,-122.048,315.975,66,0.149497066831784,9.85432886137818,3.01777531540926,27,5.0549455409658,0.382913760579292,10.2838590317637,1999-02-28,3
1583.1,0,517.24,11.464,1982,0.822,11.736,52,36.709,160,0,24.935,3,1999,2.799,1,0,0.425,-0.33,1.9743,-122.058,299.525,49,0.210543566407976,11.0312723298929,5.84617257648358,50,5.73521327815955,0.456745364752425,10.9808241938525,1999-02-28,3
1596.1,0,459.445,9.663,2695,4.186,12.611,20,36.712,4.5,0,4.472,4,1999,2.409,1,0,0.771,-0.41,1.6464,-122.055,256.85,22,0.176273455369325,9.69920094346691,5.05116196633284,23,4.92182720243517,0.524985209045452,9.6633065906186,1999-03-31,4
1595.1,0,448.6,9.862,2794,4.186,12.574,69,36.717,2.759,0,0,4,1999,2.25,1,0,1.408,-0.41,1.6464,-122.064,242.67,22,0.142477025503095,9.9922404591194,5.01636688882001,88,3.29530879779915,0.313130983125166,9.18149010399871,1999-03-31,4
1598.1,0,453.21,9.733,5634,4.186,13.147,15,36.719,118.481,0,9,4,1999,1.674,1,0,0.471,-0.41,1.6464,-122.051,200.33,49,0.219459860768491,9.31468637776063,3.53554385009338,49,3.53554385009338,0.695639984029428,9.31468637776063,1999-03-31,4
1610.1,0,525.36,10.867,8359,2.295,13.941,51,36.71,50.526,0,3.117,5,1999,2.659,1,0,0.413,-0.68,1.6046,-122.055,305.965,23,0.279835222254759,10.8376787822335,6.05859508528994,15,5.03016756886744,1.15377469804143,11.2562313172155,1999-04-30,5
1606.1,0,568.47,9.297,7819,2.295,13.575,88,36.804,21.209,0,0,5,1999,1.676,1,0,0.833,-0.68,1.6046,-121.991,182.67,22,0.237349503040036,9.303777561576,4.47433725195604,25,4.14805824690335,0.476817608301388,9.14034978589371,1999-04-30,5
1623.1,0,479.505,10.291,5920,0.057,14.43,20,36.701,19.794,0,8.372,6,1999,2.594,1,0,0.467,-1.3,1.9053,-122.052,207.965,42,0.19199679419633,9.75569051852818,3.34677957777936,61,2.9391632779777,0.138346007727758,9.14715976323075,1999-05-31,6
1624.1,0,436.22,10.108,5933,0.057,14.442,49,36.709,2.03,0,0,6,1999,2.772,1,0,2.55,-1.3,1.9053,-122.054,203.5,37,0.13168401506974,9.82314959414379,3.69099572245363,43,3.45373526207523,0.177196129721054,9.64694348851643,1999-05-31,6
1636.1,0,476.485,11.812,5364,-0.469,14.439,87,36.693,5.753,0,0,7,1999,0.381,1,0,1.829,-0.66,1.3811,-122.016,200.375,23,0.447009542962888,12.198973098467,5.49871257146826,67,4.14673275948843,0.742863319023726,9.8703411012691,1999-06-30,7
1637.1,0,648,12.181,5322,-0.469,14.428,40,36.699,42.5,0,0,7,1999,0.487,1,0,0.546,-0.66,1.3811,-122.011,290.16,28,0.442676488079448,11.7799661192514,5.98959873209562,29,5.89769571919715,0.39347819305438,11.6765937281311,1999-06-30,7
1638.1,0,387.18,11.55,5260,-0.469,14.416,28,36.705,0,0,0,7,1999,3.416,1,0,1.883,-0.66,1.3811,-122.062,197.75,25,0.567794099717307,12.1397813876019,5.6923599866416,28,5.26724797197357,0.564231474167028,11.7474512091834,1999-06-30,7
1639.1,0,609.6,12.596,4926,-0.469,14.367,23,36.773,7.273,0,0,7,1999,1.203,1,0,0.408,-0.66,1.3811,-122.085,288.67,31,0.391019770469832,12.1910029461978,5.50731607969887,36,5.06798582321948,0.388718618956543,11.7531417770082,1999-06-30,7
1656.1,0,536.89,10.945,3640,-1.651,13.874,20,36.691,54.34,3.429,3.78,8,1999,2.981,1,0,0.617,-0.96,1.4335,-122.067,232.26,18,0.423229390375293,11.4446696400993,4.41193024492623,71,3.51349934177688,0.320916657870175,9.81844892146348,1999-07-31,8
1654.1,0,587.575,10.981,3669,-1.651,13.91,26,36.717,0,101.647,0,8,1999,1.881,1,0,0.75,-0.96,1.4335,-122.05,223.285,25,0.279692363708844,11.1346941591335,3.97268853227928,32,3.61511977835897,0.232794969186167,10.7060460189457,1999-07-31,8
1678.1,0,596.09,11.176,2470,-1.651,12.288,20,36.71,31.034,55.385,11.803,9,1999,2.685,1,0,0.646,-1.53,1.305,-122.052,345.515,16,0.240321996877983,11.6977675567563,5.56572676949361,35,4.66929657934238,0.3069636375302,11.0003685939576,1999-08-31,9
1679.1,0,615.59,11.135,2423,-1.651,12.251,15,36.713,4.507,21.852,0.341,9,1999,2.323,1,0,2.779,-1.53,1.305,-122.053,332.23,17,0.600705668992454,12.2022703039982,5.04368685459395,39,4.54623892061614,0.341949854180698,11.0782937576008,1999-08-31,9
1698.1,0,502.38,12.451,1025,0.012,11.14,21,36.714,0,0.881,0,10,1999,2.503,1,0,1.288,-2.23,1.1788,-122.064,191.8,22,0.331398448384344,12.6075813243389,2.6598755558701,174,1.39072695312507,0.184088634526604,9.07360477562115,1999-09-30,10
1697.1,0,494.955,12.749,1063,0.012,11.179,42,36.723,102.857,10.213,0,10,1999,2.283,1,0,0.367,-2.23,1.1788,-122.072,192.69,41,0.313224786217112,11.7953281319606,3.25126224337086,41,3.25126224337086,0.191057339809119,11.7953281319606,1999-09-30,10
1703.1,0,532.39,12.367,1228,-2.029,10.693,20,36.715,7.856,11.7,1.335,11,1999,2.026,1,0,2.788,-2.05,1.3206,-122.05,196.81,22,0.366821377254242,12.6477353820844,3.8576557641307,26,3.59500144406522,0.261590292363874,12.3208763141856,1999-10-31,11
1702.1,0,537.63,11.955,1187,-2.029,10.729,33,36.716,0,14.545,0,11,1999,2.209,1,0,0.721,-2.05,1.3206,-122.062,NA,24,0.163912162329451,11.875004001658,3.69947619449444,34,3.30366149467659,0.185790841249152,11.5120376457167,1999-10-31,11
259.2,0,465.145,11.59,583,2.013,10.713,77,36.331,0,0,0.611,14,2000,66.806,2,0,2.392,0.29,2.956,-122.899,275.535,77,0.185346863778962,10.1321840944483,4.90686561639879,79,4.77011115177223,0.303738166818717,10.0489614056228,2000-01-31,2
260.2,0,472.08,11.958,524,2.013,10.737,78,36.57,0,0,11.603,14,2000,33.847,2,0,2.425,0.29,2.956,-122.52,294.77,61,0.144486776223916,10.8961766160637,4.96919026800165,62,4.92736553989873,0.186461137227686,10.8637846073645,2000-01-31,2
258.2,0,504.465,11.991,598,2.013,10.671,98,36.673,22.569,0,17.041,14,2000,5.129,2,0,1.6,0.29,2.956,-122.099,308.1,99,0.258404295235396,10.6860240289029,4.64668511923414,96,4.82110213885119,0.258027710923821,10.8615230572627,2000-01-31,2
257.2,0,481.29,12.0325,766,2.013,10.595,83,36.699,22.8,0,19.394,14,2000,1.539,2,0,1.1,0.29,2.956,-122.033,290.8,94,0.167892337330825,10.7582831880967,5.3327788555683,98,5.13909123837934,0.215659992755903,10.6075395300762,2000-01-31,2
1909.1,0,503.27,11.091,1568,2.013,10.082,54,36.726,56.842,3.871,3.158,14,2000,1.086,1,0,0.35,0.29,2.956,-122.011,253.48,46,0.2824469624384,10.2849073477539,4.74579051535585,49,4.51035112764602,0.344737479661694,10.0897438865469,2000-01-31,2
132.2,0,437.76,11.066,3084,-0.614,12.605,20,36.585,0,0,0,4,2000,32.713,2,0,1.537,0.35,2.3653,-122.52,338.575,22,0.361966457410892,11.2790458474838,6.11616739352527,28,5.65382063251344,0.342018760239099,10.8316342990716,2000-03-31,4
130.2,0,492.33,10.956,3198,-0.614,12.57,48,36.67,15.287,0,1.574,4,2000,6.003,2,0,1.633,0.35,2.3653,-122.11,264.185,41,0.184331211703528,10.4474025766052,5.77904978391353,28,9.44515152983591,1.72865420610652,10.9326278377212,2000-03-31,4
131.2,0,485.745,11.2595,3198,-0.614,12.578,20,36.671,38.71,0,0,4,2000,6.013,2,0,0.292,0.35,2.3653,-122.11,308.345,22,0.256968852185113,11.4362407340821,5.66805607909192,46,5.20608537930125,0.224245641823091,10.5499891169469,2000-03-31,4
1756.1,0,479.95,11.871,2697,-0.614,12.959,46,36.69,36.923,0,10.435,4,2000,0.88,1,0,0.579,0.35,2.3653,-122.038,229.485,42,0.418354943766347,11.202065961092,5.58672822681163,28,5.29222602035974,0.531341851245112,11.931329200125,2000-03-31,4
1757.1,0,478.815,11.139,2815,-0.614,12.998,32,36.708,0.844,0,0.614,4,2000,2.839,1,0,1.225,0.35,2.3653,-122.045,189.12,27,0.558878698294949,10.9574468024618,5.13234303418092,26,5.27786655060981,0.582017206399445,11.0970901849177,2000-03-31,4
1738.1,0,539.27,9.9825,3285,-0.614,12.178,39,36.712,0,0,0,4,2000,2.488,1,0,0.996,0.35,2.3653,-122.054,273.555,146,0.133321859129193,8.46007981864823,2.30508061796611,54,4.52634430997868,0.539189646126568,9.66251063720775,2000-03-31,4
1736.1,0,543.57,10.0455,3282,-0.614,12.135,20,36.715,0,7.742,0,4,2000,2.12,1,0,0.5,0.35,2.3653,-122.055,246.54,22,0.116175263746863,10.0928872711976,4.3028296297453,53,3.870016375281,0.191585904905434,9.73041038293354,2000-03-31,4
1777.1,0,542.58,9.966,4756,-1.944,14.431,33,36.703,50.769,2.927,1.558,6,2000,2.489,1,0,0.875,-0.44,2.1021,-122.048,198.24,22,0.341304287930183,10.0575135809811,4.6728063419479,22,4.6728063419479,0.43264623183421,10.0575135809811,2000-05-31,6
1776.1,0,548.72,9.027,4899,-1.944,14.42,20,36.713,370.12,7.059,33.103,6,2000,2.648,1,0,0.638,-0.44,2.1021,-122.064,160.26,20,0.206422816929507,9.13038745138232,4.12644636249195,22,3.9483818099599,0.385624456113909,9.0392831885397,2000-05-31,6
1797.1,0,467.62,10.944,5261,1.526,14.189,45,36.708,4.138,12,0,7,2000,2.929,1,0,0.779,-0.66,1.6558,-122.054,228.89,40,0.223615837053839,10.4150121773983,3.83836823154121,57,3.24120524811874,0.179081351030408,9.80777539281276,2000-06-30,7
1796.1,0,486.19,11.086,5155,1.526,14.211,69,36.709,327.273,5.333,10.746,7,2000,2.726,1,0,0.421,-0.66,1.6558,-122.051,240.29,51,0.307667524366477,10.1010657490204,4.36779015891264,79,3.45270207281646,0.218912902892123,9.06292627766304,2000-06-30,7
1790.1,0,464.25,11.3,3340,1.526,14.442,22,36.713,948.706,63.333,26.341,7,2000,2.36,1,0,0.475,-0.66,1.6558,-122.057,230.97,32,0.310497804603204,11.1071098539282,5.0596546655283,59,4.20382190889931,0.193530655841293,10.4954500055474,2000-06-30,7
1791.1,0,495.55,11.328,3412,1.526,14.433,35,36.746,64.478,0,0,7,2000,2.582,1,0,0.375,-0.66,1.6558,-121.95,229.035,18,0.672828346370007,11.4609286733067,5.24531958645288,18,5.24531958645288,0.554867593015752,11.4609286733067,2000-06-30,7
1807.1,0,513.28,11.2635,4944,0.997,13.499,44,36.713,5.854,6.316,0.764,8,2000,2.322,1,0,1.383,-1.19,1.3516,-122.051,254.715,38,0.209273488522017,10.6453332790296,5.14220166489595,42,4.8890785798864,0.278330613090104,10.4555191374048,2000-07-31,8
1806.1,0,507.28,10.139,5040,0.997,13.6,25,36.718,115.973,46.387,17.143,8,2000,1.965,1,0,0.567,-1.19,1.3516,-122.059,250.11,22,0.483138952008278,10.4518897970149,5.05624136710091,22,5.05624136710091,0.370612176569921,10.4518897970149,2000-07-31,8
1802.1,0,506.69,11.846,4913,0.997,13.732,43,36.762,56.774,0,0,8,2000,0.412,1,0,0.338,-1.19,1.3516,-122.052,262.3,32,0.27394456973191,11.3131440614637,5.25684863877217,71,4.41469707763683,0.205634531050306,9.9341455468141,2000-07-31,8
1835.1,0,495.85,13.307,1973,-0.59,12.011,31,36.709,3.944,2.667,23.008,9,2000,2.907,1,0,2.638,-1.24,1.3802,-122.062,294.37,24,0.969958057773299,13.8068829601552,5.96513104624994,86,4.38755776948882,0.281225850709346,10.2332949337758,2000-08-31,9
1834.1,0,504.96,15.405,1904,-0.59,12.051,53,36.709,20.377,0,1740.759,9,2000,2.792,1,0,0.504,-1.24,1.3802,-122.055,305.62,40,0.794526603126179,13.2882986865166,4.8274942414598,96,4.39740589721402,0.214576514379758,10.3502367271458,2000-08-31,9
1845.1,0,486.095,12.064,1845,1.53,11.335,24,36.704,1.008,115.269,444.878,10,2000,3.109,1,0,0.687,-1.3,1.6982,-122.057,292.735,22,0.403865089874172,12.5160931643584,4.48099661536676,22,4.48099661536676,0.2486987645571,12.5160931643584,2000-09-30,10
