,x,y,richness,NDVI,temp,wet
77,1649.32,327.4,8,0.596723,22.377,-0.0456438
78,1790,424.47,20,0.600044,21.955,-0.0457966
79,1735.45,327.37,10,0.634432,22.377,-0.0504208
80,1353.35,299.22,13,0.632183,22.377,-0.0445785
81,1373.67,235.05,9,0.638722,22.798,-0.047709
82,1513.08,325.85,57,0.600807,22.377,-0.0696551
83,1530,188.01,11,0.64284,21.955,-0.053692
84,1320,133.17,7,0.640081,21.531,-0.0470433
85,1262.52,0.13,40,0.628604,23.217,-0.0568079
86,1360,7.93,24,0.609018,23.217,-0.069174
87,1491.13,120.66,17,0.651677,21.955,-0.0609552
88,1752.66,122.22,18,0.596723,23.217,-0.055959
89,860.54,6078.51,14,0.420837,23.217,-0.0187194
90,434,6097.39,10,0.375662,23.635,-0.00839093
91,494.86,6087.03,16,0.39053,23.217,-0.0106403
92,903,6051.14,14,0.375662,23.217,-0.00724246
93,811.44,5982.18,19,0.374155,23.217,-0.012834
94,877.54,5899.99,21,0.45473,22.798,-0.0215538
95,845.42,5817.7,18,0.40607,23.217,-0.0206395
96,385,5799.83,18,0.416494,24.051,-0.0201295
97,447,5793.12,15,0.392662,24.051,-0.0183195
98,836.01,5735.56,13,0.420837,23.217,-0.0175208
99,391.84,5762.95,16,0.374155,24.051,-0.0158139
100,394.68,5695.89,28,0.3984,24.051,-0.0225917
101,630.93,5667.45,26,0.44166,24.051,-0.0295753
102,813.34,5647.61,33,0.417874,23.635,-0.0281303
103,878.5,5684.45,18,0.408761,23.635,-0.0162075
104,922,7098.19,27,0.481158,22.798,-0.017581
105,535.72,6909.5,24,0.564151,22.798,-0.0398151
106,814,7042.35,23,0.593346,22.798,-0.0491388
107,894.6,7047.17,32,0.59046,22.798,-0.0488419
108,985.28,7045.29,13,0.600179,22.798,-0.0506519
109,983.3,6948.97,41,0.596723,22.377,-0.0548718
110,571.39,6878,17,0.563788,22.798,-0.0507534
111,535.71,6860.13,27,0.570381,22.798,-0.0347597
112,632.84,6791.95,29,0.560204,22.377,-0.0480656
113,719.79,6820.39,21,0.534935,22.377,-0.0173344
114,949.37,6817.49,25,0.526738,22.798,-0.0174001
115,989,6799.57,27,0.599897,22.798,-0.0509086
116,522.26,6771.21,37,0.569533,22.798,-0.0498876
117,625.28,6695.59,41,0.600044,22.798,-0.0534669
118,722.58,6690.92,26,0.613185,22.798,-0.0530986
119,902.13,6665.37,31,0.603311,22.377,-0.0529368
120,357.73,5658.67,48,0.413546,24.466,-0.0218553
121,346.63,5544.59,38,0.420837,24.88,-0.0240574
122,606.37,5598.4,33,0.431502,24.051,-0.0271667
123,842.97,5321.03,40,0.448272,24.051,-0.0306642
124,341.05,5185.52,54,0.442451,23.635,-0.022788
125,530.33,5083.43,40,0.468809,24.051,-0.0366145
126,519.17,5160.46,42,0.48989,24.051,-0.0248981
127,820.69,5051.87,50,0.490508,23.635,-0.0324385
128,1236.35,6075.36,24,0.417874,24.051,-0.0148911
129,1115.63,6058.72,12,0.384279,23.635,-0.0129252
130,972,6043.95,22,0.375662,23.635,-0.0107844
131,1458.15,6013.58,21,0.40607,24.051,-0.0190966
132,994.9,5960.52,26,0.356876,23.217,-0.0159174
133,1440,5918.38,27,0.420837,24.051,-0.0196759
134,954.66,5865.35,15,0.46544,23.217,-0.0201226
135,1416.94,5816.25,20,0.40607,24.051,-0.0215607
136,999.83,5833,17,0.408761,23.635,-0.0164347
137,938.99,5724.02,27,0.400819,24.051,-0.0164137
138,1410,5727.94,15,0.452314,23.635,-0.0196492
139,1115.64,5668.16,16,0.556185,23.635,-0.050053
140,1190,5653.39,8,0.571382,23.217,-0.0383521
141,1282.44,5645.51,17,0.489213,23.635,-0.0266209
142,1344.31,5635.78,16,0.543865,23.635,-0.0317275
143,1410.05,5616.12,16,0.46544,23.635,-0.0242155
144,1003.75,5612.12,33,0.445506,24.051,-0.0251675
145,1185.32,5593.55,33,0.403441,23.635,-0.0114047
146,1250,5620.03,12,0.461038,23.217,-0.0221258
147,1306.04,5624.89,12,0.489213,23.635,-0.0266209
148,1359.03,5567.99,32,0.406292,23.635,-0.0104108
149,1424.78,5584.66,22,0.424028,23.635,-0.0166196
150,989.03,5935.98,2,0.365633,23.635,-0.0166324
151,960.02,5578.46,40,0.461038,23.635,-0.0277727
152,1124.14,5546.43,26,0.3668,23.635,-0.0153964
153,1364.96,5519.88,35,0.380762,23.635,-0.0224479
154,937,5378.11,27,0.473226,24.88,-0.035475
155,1355.35,5436.74,30,0.396161,23.635,-0.0289163
156,1196.6,5322.74,24,0.347483,24.051,-0.0164738
157,952,5070.17,39,0.461038,24.051,-0.0277876
158,899,5146.89,31,0.44166,24.051,-0.0285123
159,1320,5041.43,27,0.365633,22.798,-0.0127314
160,758,1651.74,28,0.403576,23.635,-0.0212428
161,486,1747.77,36,0.461038,24.051,-0.0296041
162,569,1712.7,18,0.413546,24.051,-0.0147825
163,873,1688.97,48,0.420837,23.635,-0.0214218
164,735,1484.49,32,0.413546,22.798,-0.0228267
165,509,1585.75,32,0.413546,23.217,-0.0192494
166,491,1367.84,30,0.420837,23.217,-0.0154158
167,801.62,1323.48,40,0.47177,22.798,-0.0252432
168,1071.09,2249.28,17,0.506693,23.217,-0.030995
169,1214.32,2232.76,21,0.415116,23.635,-0.0177449
170,1485.31,2193.09,32,0.401606,23.635,-0.0503432
171,1045.73,2199.64,24,0.45473,23.217,-0.0257174
172,1202.19,2189.7,18,0.424769,23.635,-0.0229562
173,1432.46,2162.18,18,0.478899,23.217,-0.0462717
174,1462.17,2140.14,30,0.413134,23.217,-0.0545235
175,1080,2131.33,19,0.371478,23.217,-0.0261259
176,1132.74,2145.74,22,0.410812,23.635,-0.0253567
177,1480,2088.35,22,0.420905,22.798,-0.0655273
178,999.44,2016.74,19,0.379198,22.798,-0.0176278
179,1010,1937.45,24,0.40607,23.217,-0.0182218
180,1180,2063.09,19,0.380762,23.217,-0.0109341
181,1413.73,1961.66,29,0.364558,22.798,-0.0150695
182,1470,1928.65,15,0.384279,22.798,-0.0165378
183,1225.34,1939.66,10,0.347123,23.217,-0.0167886
184,978.54,1775.52,21,0.444507,23.635,-0.0238097
185,1257.26,1733.69,27,0.310138,24.051,-0.053564
186,1431.31,1717.17,18,0.44166,23.217,-0.0331321
187,1170.22,1845.98,10,0.379198,23.217,-0.0208961
188,1048.79,7087.87,20,0.575577,23.217,-0.041266
189,1290.83,7074.21,23,0.55642,22.377,-0.045828
190,1396.14,6993.86,21,0.612799,22.798,-0.0505721
191,1503.11,7047.73,22,0.568027,22.798,-0.0388047
192,1290,6869.99,21,0.600044,22.798,-0.0436768
193,1117.16,6680.24,51,0.58642,22.377,-0.0448257
194,1199.15,6757.42,22,0.596723,22.798,-0.043524
195,1016.68,6664.16,26,0.589912,22.798,-0.0460916
196,1526.62,2184.72,35,0.501522,23.217,-0.0422114
197,1562.35,2185.77,10,0.536162,22.798,-0.0240863
198,1612.42,2179.56,38,0.560204,22.377,-0.0350072
199,1680.83,2167.39,28,0.603311,22.377,-0.0437943
200,1776.77,2158.12,8,0.562308,22.377,-0.0351871
201,1890.13,2143.83,20,0.474556,23.217,-0.0245391
202,1970.78,2132.61,11,0.431502,23.217,-0.01886
203,2025.95,2128.57,24,0.444507,23.217,-0.0241186
204,2015.71,2068.29,14,0.468809,23.217,-0.0289089
205,1580.73,2105.05,23,0.506693,22.798,-0.0297147
206,1711.43,2071.34,2,0.445506,22.798,-0.0269636
207,2010,1983.55,17,0.427948,23.217,-0.0187868
208,1517.44,1977.42,15,0.40607,22.798,-0.0206042
209,1625.64,1964.18,22,0.553926,22.798,-0.0404721
210,1970.81,1700.7,30,0.420837,23.217,-0.0196053
211,1677.71,1701.72,22,0.3984,22.798,-0.0166673
212,1970,1637.44,22,0.484875,22.798,-0.0232044
213,1493.95,1716,21,0.40607,23.217,-0.0212016
214,745.97,3918.64,12,0.424769,23.635,-0.0359534
215,942.88,3861.78,21,0.338563,25.703,-0.0374856
216,1187.14,3853.28,29,0.379198,24.466,-0.0293198
217,736.47,3799.61,9,0.396161,24.88,-0.0252889
218,1112.4,3607.92,20,0.410812,24.88,-0.0266018
219,907.07,3707.95,9,0.396161,25.292,-0.0329944
220,1126.11,3530.02,20,0.403576,24.466,-0.0262311
221,682.73,3450.05,26,0.485685,22.377,-0.0375181
222,813.33,3437.37,23,0.410812,23.217,-0.0228177
223,1069.2,3362.64,11,0.63484,22.377,-0.0692849
224,1273.49,3550.02,23,0.427948,24.051,-0.0365951
225,736,3377.3,30,0.527696,22.377,-0.0460384
226,702.17,3106.08,41,0.606525,23.217,-0.0472006
227,847.61,3337.96,18,0.585213,21.955,-0.0657542
228,933,3337.94,14,0.506233,21.955,-0.0519018
229,1000,3082.57,10,0.593752,22.377,-0.0568321
230,743,2890.02,47,0.615861,23.217,-0.0639957
231,792.56,2857.29,32,0.618295,23.217,-0.0560326
232,941.9,2905.73,25,0.553926,22.798,-0.0418683
233,1372.37,4453.59,24,0.490508,22.798,-0.0353013
234,1632.68,4416.28,28,0.48989,23.217,-0.0285255
235,1791.42,4333.41,34,0.556185,23.217,-0.0476596
236,1681.66,4242.3,27,0.603311,22.377,-0.0535844
237,1325.71,4298.34,19,0.566382,23.635,-0.0593573
238,1294.19,4116.3,18,0.571835,23.217,-0.0494552
239,1347.87,4005.45,18,0.599897,23.217,-0.0485968
240,1410.9,4113.91,22,0.668271,22.798,-0.0610603
241,1626.82,4155.96,23,0.525854,22.377,-0.0413979
242,1686.36,4122.13,26,0.43137,22.377,-0.0250902
243,1263.84,3877.05,22,0.401259,24.051,-0.0252655
244,1356.09,3868.9,27,0.628604,22.798,-0.0511572
245,1494.93,4006.63,22,0.422633,22.798,-0.0485849
246,2237.17,3693.03,14,0.597238,22.798,-0.059711
247,2040.23,3527.98,17,0.558157,24.051,-0.040251
248,1912.91,3414.82,16,0.382451,24.88,-0.024264
249,1818.61,3320.41,15,0.427948,24.88,-0.0227584
250,1830.41,3279.13,22,0.427948,22.798,-0.0242102
251,1937.7,3279.18,25,0.565367,22.377,-0.050808
252,2061.46,3254.41,27,0.570121,22.377,-0.0501449
253,1999.44,2592.98,42,0.37283,23.217,-0.0461008
254,2060,2590.87,37,0.379198,23.217,-0.0217914
255,1820,2528.95,24,0.347483,23.217,-0.0176223
256,1988.93,2499.61,14,0.479115,22.798,-0.0343586
257,1690,2487.05,43,0.364558,22.798,-0.0213027
258,1744.47,2412.58,20,0.39053,22.798,-0.0154979
259,2060.29,2405.24,14,0.44166,22.798,-0.0296867
260,1630,2324.42,33,0.467201,22.798,-0.0267418
261,1702.5,2331.72,13,0.427948,22.798,-0.0182506
262,1680.48,2223.69,32,0.431502,22.377,-0.0243188
263,1980,2418.84,29,0.448272,22.798,-0.0347925
264,1950.05,4273.72,29,0.375662,23.217,-0.0176189
265,1985.53,4172.16,27,0.388558,24.051,-0.0210077
266,2236.41,4322.74,22,0.356876,23.217,-0.0149962
267,2158.08,3768.28,41,0.427948,23.217,-0.0235979
268,2209.52,3802.58,17,0.59046,23.217,-0.0513877
269,2137.3,3992.25,27,0.380762,24.466,-0.0304271
270,309.99,4591.95,17,0.424769,24.88,-0.0285215
271,671.06,4534.43,21,0.490508,23.635,-0.0366169
272,251.3,4505.09,19,0.401259,24.88,-0.0291666
273,458.11,4557.74,9,0.45693,24.051,-0.0319069
274,208,4402.32,19,0.450789,24.466,-0.0319565
275,185,4244.42,13,0.408269,24.88,-0.0313891
276,636.78,4281.05,27,0.44166,24.051,-0.0292923
277,776.33,4527.17,19,0.549614,23.217,-0.0367272
278,226.79,4064.52,23,0.377744,25.292,-0.0363836
279,422.59,4025.27,35,0.362642,25.292,-0.0343879
280,696.74,3997.15,24,0.396161,23.635,-0.023746
281,1858.24,4372.89,35,0.536162,23.635,-0.0444541
282,1995.42,1609.08,21,0.445506,22.798,-0.0229318
283,2267.39,1524.65,38,0.506809,22.798,-0.0308512
284,2462.2,1461.13,42,0.506693,22.798,-0.0370148
285,2435.09,1240.28,15,0.536162,22.377,-0.0290133
286,2001.68,1120.49,14,0.619504,21.955,-0.0416621
287,2428.87,1034,13,0.613185,21.955,-0.0468653
288,2233,1060.01,14,0.566382,21.955,-0.0400304
289,2008.97,1085.04,14,0.645557,21.955,-0.050208
290,2371.56,1047.45,16,0.596432,21.955,-0.0421494
291,1952.69,1202.77,13,0.641549,21.955,-0.0441817
292,614.92,2850.9,18,0.670578,22.798,-0.0744573
293,767.09,2827.48,19,0.58642,23.217,-0.0513474
294,860.68,2815.7,18,0.612799,23.217,-0.0520444
295,927.77,2801.9,18,0.660637,22.798,-0.0624034
296,1043.7,2778.47,7,0.623392,22.377,-0.0480902
297,1047.98,2688.07,14,0.462935,21.955,-0.0296514
298,591.51,2610.42,29,0.612799,23.217,-0.0435457
299,844.76,2617.88,48,0.471638,22.798,-0.0437125
300,983.06,2402.94,8,0.399101,23.635,-0.0312162
301,721.34,2579.5,52,0.539346,23.217,-0.0416855
302,576.62,2381.59,19,0.380762,23.217,-0.0161496
303,777.71,2365.71,15,0.380762,23.635,-0.0194792
304,878.77,2324.15,23,0.356876,24.051,-0.0162412
305,940.52,2318.88,33,0.380762,23.635,-0.022074
306,1003.3,2302.88,23,0.413546,23.635,-0.0273141
307,793.67,2513.6,8,0.376389,23.217,-0.0251123
308,54.22,3467.85,12,0.371478,25.703,-0.0321821
309,24.95,3380.12,42,0.399101,25.292,-0.0417709
310,213,3430.94,33,0.347483,24.466,-0.0176223
311,312.88,3424.73,34,0.382451,23.635,-0.0188759
312,396.01,3424.76,26,0.566382,22.377,-0.0531241
313,449.86,3389.32,28,0.550387,22.377,-0.0523912
314,526.88,3370.84,50,0.496658,21.955,-0.0360619
315,619.22,3377.04,38,0.534935,22.377,-0.0374898
316,1.91,3255.42,38,0.448272,24.466,-0.0258883
317,85,3250.76,34,0.45693,24.051,-0.027237
318,248.23,3240,38,0.525854,22.798,-0.0375786
319,602.27,3153.73,46,0.596723,22.798,-0.0466003
320,15.73,3081.46,39,0.548799,22.798,-0.0445057
321,306.68,2885.95,43,0.64284,22.798,-0.0595104
322,208.2,2902.91,24,0.638722,22.377,-0.0555613
323,557.64,2889.01,60,0.618295,22.798,-0.0597554
324,526.87,2918.21,28,0.621156,22.798,-0.0533363
325,392.91,2801.3,38,0.603311,22.798,-0.0529721
326,445,2751.99,42,0.556185,22.798,-0.0486161
327,545.31,2782.77,39,0.585664,22.798,-0.0443723
328,536.08,2704.3,41,0.580938,22.798,-0.0459213
329,556.32,2326.21,56,0.40607,23.217,-0.0211663
330,853.83,2279.95,33,0.380762,23.217,-0.0182342
331,815.98,2240.97,18,0.3984,22.798,-0.0286478
332,1001.01,2259.94,45,0.43808,23.217,-0.0268038
333,970.51,2161.11,19,0.396161,22.798,-0.0219852
334,531.07,2253.61,22,0.374155,23.217,-0.0152424
335,853.85,2147.46,12,0.40607,22.798,-0.0191931
336,500.59,1856.26,24,0.365633,23.635,-0.0133641
337,692,2071.79,36,0.356134,22.798,-0.0144362
338,715,1903.55,10,0.3668,22.798,-0.011577
339,860,1814.19,9,0.401259,23.635,-0.0256859
340,960.04,1940.37,41,0.356134,23.217,-0.0127367
341,929.5,1779.47,52,0.462935,23.635,-0.0330163
342,752.94,1806.81,27,0.408269,23.635,-0.0289603
343,1492.66,1636.93,50,0.473226,23.635,-0.0295154
344,1645.05,1618.67,19,0.438527,22.798,-0.0144612
345,1839.77,1605.93,20,0.40607,22.798,-0.0150036
346,1896.15,1555.17,18,0.534935,22.798,-0.0347985
347,1942.76,1392.86,16,0.526738,22.377,-0.0327907
348,1434.83,1195.34,12,0.536162,21.955,-0.0334802
349,1611.21,1178.41,19,0.647218,21.531,-0.0467638
350,1876.41,1298.31,19,0.545217,22.377,-0.0358203
351,386.33,3973.55,55,0.388558,25.292,-0.0332619
352,690.83,3909.32,35,0.420837,24.466,-0.0229294
353,127.38,3873.15,56,0.354813,24.88,-0.0331367
354,140.82,3782,26,0.396161,23.635,-0.0186965
355,233,3773.71,48,0.434887,24.051,-0.0195017
356,642.12,3738.43,36,0.396161,24.466,-0.0303031
357,693.91,3746.75,43,0.396161,24.466,-0.0275858
358,43.46,3553.12,10,0.363564,26.112,-0.036755
359,136.67,3543.79,34,0.363564,25.292,-0.0338105
360,663,6632.06,22,0.582868,23.217,-0.0557526
361,736.41,6623.17,12,0.576742,23.217,-0.0506588
362,943.98,6606.72,12,0.606794,22.798,-0.0477458
363,948,6518.12,13,0.558157,23.217,-0.0417232
364,494.62,6471.25,19,0.468809,23.635,-0.0333257
365,910,6430.78,21,0.461038,23.217,-0.0204374
366,485.75,6359.9,11,0.44099,24.051,-0.02762
367,448,6180.19,17,0.382451,23.635,-0.0156076
368,679.43,6144.66,9,0.506809,23.635,-0.0258221
369,721.22,6362.47,47,0.438527,23.217,-0.0183269
370,1114.79,2750.84,20,0.593346,22.377,-0.0468419
371,1158.8,2697.69,19,0.633265,22.377,-0.0663502
372,1220,2560.5,10,0.501296,22.377,-0.040559
373,1347.14,2747.76,29,0.64564,22.798,-0.0751154
374,1361.48,2663.83,51,0.670451,22.377,-0.0836995
375,1231.47,2678.24,23,0.6531,22.798,-0.0633772
376,1507.92,2526.64,33,0.506586,21.106,-0.0369314
377,1165.97,2430.46,18,0.532644,22.798,-0.0333971
378,1083.05,2488.79,45,0.48018,22.798,-0.0186821
379,1071.79,2450.94,15,0.47177,22.798,-0.013992
380,1293.93,2450.87,17,0.338597,22.798,-0.0130174
381,1150,2351.59,19,0.403576,22.798,-0.0223913
382,1347.18,2560.45,8,0.676862,21.955,-0.0836131
383,1249.89,2505.15,24,0.384279,22.377,-0.0146711
384,1110,2279.94,20,0.427948,23.217,-0.0208211
385,1164.91,2288.09,15,0.461038,23.217,-0.0206646
386,1258.07,2282.02,20,0.372765,23.217,-0.0228925
387,1436.24,2254.32,10,0.431502,23.635,-0.0238984
388,1447.47,2337.3,14,0.380762,23.217,-0.0182083
389,556,6569.95,16,0.582868,23.217,-0.0493875
390,625.91,6648.54,20,0.580257,23.217,-0.053974
391,897.69,6296.25,24,0.410812,23.217,-0.016296
392,933.02,6254.07,25,0.427948,23.635,-0.0163933
393,899.96,6192.53,15,0.380762,23.635,-0.0116623
394,808,6148.11,15,0.477951,23.217,-0.0212176
395,906.79,6149.18,17,0.410812,23.635,-0.0174444
396,1081.12,6594.17,25,0.609947,22.798,-0.0381526
397,1035.55,6532.72,26,0.48399,23.217,-0.0174341
398,1008.23,6440.36,23,0.396161,23.217,-0.0171741
399,1093.7,6488.24,33,0.479115,23.217,-0.0274777
400,1286.24,6501.95,23,0.448272,24.051,-0.0253726
401,1495.95,6480.22,49,0.556185,22.798,-0.0397268
402,1470,6463.15,37,0.522642,22.798,-0.0299439
403,1370,6495.12,28,0.458956,23.217,-0.0257021
404,1210,6399.31,32,0.396161,24.051,-0.0245707
405,1059.51,6409.58,29,0.46544,23.217,-0.0186856
406,1210,6462.01,23,0.417874,24.051,-0.0210427
407,1010,6340.06,21,0.473226,23.217,-0.0201103
408,1482.27,6294.26,28,0.413546,23.635,-0.0195584
409,1238.4,6113.07,20,0.431502,24.051,-0.0221172
410,1314.73,6115.35,23,0.44166,24.051,-0.0213187
411,1445.77,6105.01,27,0.372765,24.466,-0.0214203
412,1404.02,6332.48,18,0.420837,23.635,-0.0261977
413,1477.12,6381.22,28,0.420837,23.217,-0.0178446
414,1285.69,6316.1,23,0.382451,24.051,-0.0127243
415,994.5,6242.23,29,0.3984,23.635,-0.0155188
416,1040,6290.96,28,0.43137,23.217,-0.0241337
417,1407.49,6162.11,21,0.403576,24.051,-0.0214199
418,1267.11,6223,23,0.396161,24.051,-0.0133696
419,1021.23,6132.6,28,0.445506,24.051,-0.0181206
420,1436.54,6210.29,15,0.44166,24.051,-0.0273749
421,512.02,6696.33,37,0.580257,22.798,-0.0533617
422,923.49,4514.83,31,0.49602,22.798,-0.0301625
423,855.58,4465.15,24,0.53749,23.217,-0.0352494
424,956.15,4448.24,23,0.48989,23.217,-0.0272804
425,1072.42,4482.18,25,0.461038,23.217,-0.026589
426,1176.92,4453.44,28,0.495261,23.217,-0.0311552
427,1290,4449.51,34,0.506809,23.217,-0.0349182
428,820.3,4384.2,25,0.46544,23.635,-0.0275545
429,829.47,4260.09,26,0.44166,24.051,-0.0321155
430,1235.73,4245.7,32,0.490508,23.217,-0.0332521
431,790.26,4170.01,22,0.410812,24.466,-0.0313981
432,961.36,4065.42,18,0.408269,24.051,-0.0271791
433,1229.16,4137.27,27,0.539346,23.635,-0.0419629
434,875.18,4061.58,23,0.403576,24.466,-0.0277386
435,790.25,3968.77,22,0.448272,23.635,-0.0273606
436,868.68,3955.71,20,0.40788,24.466,-0.0512649
437,919.57,3942.66,19,0.368134,24.88,-0.0480858
438,1086.77,3928.35,24,0.38673,24.466,-0.0344256
439,1217.43,3913.91,33,0.424769,24.051,-0.0303175
440,1276.19,4311,36,0.501296,23.635,-0.026676
441,1233.37,4017.9,26,0.468809,23.635,-0.0376212
442,2153.93,2640.07,47,0.512202,23.635,-0.0306802
443,2501.3,2598.88,59,0.517479,23.217,-0.0227182
444,2610.66,2542.6,26,0.568027,23.217,-0.0465399
445,2150.37,2571.56,9,0.52118,23.635,-0.0325081
446,2286.05,2577.37,15,0.511862,23.635,-0.0291846
447,2383.42,2564.61,17,0.484875,23.217,-0.0306104
448,2619.92,2473.11,27,0.477951,23.217,-0.0152933
449,2139.17,2510.3,20,0.468809,23.635,-0.0202784
450,2504.25,2522.12,27,0.468809,23.217,-0.0194184
451,2275.58,2490.69,10,0.450789,23.635,-0.0211951
452,2605.33,2444.61,22,0.473226,23.217,-0.0249667
453,2278.53,2130.57,25,0.484875,23.635,-0.0294266
454,2608.29,2410.2,32,0.444507,23.217,-0.0296987
455,2106.84,2478.93,19,0.485685,23.635,-0.0301215
456,2129.39,2460.26,19,0.511548,23.217,-0.0325003
457,2227.52,2441.67,21,0.468809,23.217,-0.0212498
458,2443.42,2430.84,12,0.428346,23.217,-0.0269194
459,2522.92,2411.2,11,0.490508,23.217,-0.0238228
460,2117.6,2390.66,19,0.458956,22.798,-0.0259795
461,2411.01,2116.77,20,0.43808,23.635,-0.0257972
462,2323.66,2364.1,20,0.49602,23.217,-0.0310484
463,2586.72,2315.06,33,0.479115,23.217,-0.0271893
464,2198.05,2423.02,13,0.531497,22.798,-0.0370365
465,2584.71,2224.77,9,0.542236,23.217,-0.0347194
466,2112.72,2358.17,15,0.458956,22.798,-0.0182945
467,2113.66,2160.91,11,0.501296,22.798,-0.0311281
468,2084.25,2226.73,20,0.496352,22.798,-0.027064
469,2100.91,2305.18,20,0.49602,22.798,-0.0218094
470,2180.44,2158.06,24,0.49602,23.217,-0.028655
471,2537.65,2115.87,16,0.473226,23.217,-0.0232672
472,2572,2176.71,21,0.48643,23.217,-0.0360225
473,2357.06,2186.51,19,0.462935,23.635,-0.0267328
474,2318.76,2212.04,18,0.468809,23.217,-0.0218715
475,450.3,6145.34,30,0.43137,23.635,-0.0197169
476,921.31,6098.23,19,0.400819,23.217,-0.0068973
477,768.23,5908.84,19,0.448272,23.217,-0.0214363
478,413.95,5869.52,18,0.43808,24.051,-0.0329201
479,623,4977.28,29,0.506809,23.635,-0.0340582
480,791.8,4991.99,24,0.501522,23.635,-0.0363836
481,277.52,4905.6,35,0.450789,24.466,-0.0289414
