UIN,YEAR,SITE,TRANSECT,kelp,prev.kelp,kelp_plants,prev.kelp_plants,sand,urchins,spring_canopy,summer_canopy,mean_Max.OV,mean_Mean.OV
2001_CARP_7,2001,CARP,7,0,0,2,2,0,82,0,0,NA,NA
2001_CARP_8,2001,CARP,8,0,0,2,2,0,242,0,0,NA,NA
2001_GOLB_1,2001,GOLB,1,891,NA,5,NA,43,5,137.5,0,NA,NA
2001_GOLB_2,2001,GOLB,2,495,NA,6,NA,23,17,340.5,0,NA,NA
2001_IVEE_1,2001,IVEE,1,109,NA,26,NA,0,20,141.5,0,NA,NA
2001_IVEE_2,2001,IVEE,2,190,NA,16,NA,0,8,751.5,74,NA,NA
2001_MOHK_1,2001,MOHK,1,1024,NA,47,NA,1,136,0,0,NA,NA
2001_MOHK_2,2001,MOHK,2,602,NA,21,NA,3,112,280,0,NA,NA
2001_NAPL_1,2001,NAPL,1,0,0,2,2,0,287,0,0,NA,NA
2001_NAPL_2,2001,NAPL,2,0,0,2,2,0,227,0,0,NA,NA
2001_NAPL_3,2001,NAPL,3,0,0,2,2,0,216,0,0,NA,NA
2001_NAPL_4,2001,NAPL,4,0,0,2,2,1,16,0,0,NA,NA
2001_NAPL_5,2001,NAPL,5,2,0,2,2,0,146,0,0,NA,NA
2001_NAPL_6,2001,NAPL,6,0,36,2,6,0,211,0,0,NA,NA
2001_NAPL_7,2001,NAPL,7,0,0,2,2,0,193,0,0,NA,NA
2001_NAPL_8,2001,NAPL,8,0,0,2,2,0,135,0,0,NA,NA
2002_ABUR_1,2002,ABUR,1,681,1110,14,23,69,0,0,135,0.643917912,0.326343111
2002_ABUR_2,2002,ABUR,2,31,0,13,2,70,0,74,173,NA,NA
2002_AHND_1,2002,AHND,1,0,2,2,2,78,0,0,0,0.511697974,0.24561998
2002_AHND_2,2002,AHND,2,350,97,17,21,13,21,553.5,400,0.53220459,0.256161762
2002_AQUE_1,2002,AQUE,1,1048,207,56,77,0,0,895,302,0.567153642,0.271324936
2002_AQUE_2,2002,AQUE,2,731,98,129,28,22,2,656,164,0.567153642,0.271324936
2002_AQUE_3,2002,AQUE,3,1394,41,45,17,14,0,0,0,0.606937087,0.290218975
2002_AQUE_4,2002,AQUE,4,493,147,41,7,18,15,630,790,0.593431156,0.282050522
2002_AQUE_5,2002,AQUE,5,794,0,172,2,4,2,0,0,0.593431156,0.282050522
2002_AQUE_6,2002,AQUE,6,734,NA,35,NA,16,0,468,776,0.58573152,0.279271716
2002_BULL_1,2002,BULL,1,315,6,21,4,3,239,218.5,0,0.638996748,0.2893075
2002_BULL_3,2002,BULL,3,201,24,16,10,8,2,0,0,0.638996748,0.2893075
2002_BULL_6,2002,BULL,6,50,0,14,2,12,0,0,0,0.638996748,0.2893075
2002_CARP_1,2002,CARP,1,1398,314,116,42,0,96,0,0,0.579324553,0.289825226
2002_CARP_2,2002,CARP,2,0,0,2,2,0,145,0,0,0.579324553,0.289825226
2002_CARP_3,2002,CARP,3,0,0,2,2,0,143,0,0,0.579324553,0.289825226
2002_CARP_4,2002,CARP,4,0,0,2,2,0,343,0,0,0.579324553,0.289825226
2002_CARP_5,2002,CARP,5,0,0,2,2,0,310,0,0,0.548436944,0.276971796
2002_CARP_6,2002,CARP,6,0,0,2,2,2,116,0,0,0.579324553,0.289825226
2002_CARP_7,2002,CARP,7,12,0,2,2,0,72,0,0,0.579324553,0.289825226
2002_CARP_8,2002,CARP,8,0,0,2,2,0,125,0,0,0.548436944,0.276971796
2002_GOLB_1,2002,GOLB,1,573,891,8,5,36,6,322.5,370,0.397568216,0.231486517
2002_GOLB_2,2002,GOLB,2,921,495,9,6,36,23,478.5,384,0.397568216,0.231486517
2002_IVEE_1,2002,IVEE,1,237,109,74,26,0,17,269,267,0.610471035,0.380751522
2002_IVEE_2,2002,IVEE,2,95,190,5,16,0,5,724,540,0.610471035,0.380751522
2002_MOHK_1,2002,MOHK,1,315,1024,17,47,0,92,640.5,555,NA,NA
2002_MOHK_2,2002,MOHK,2,1457,602,59,21,0,47,851,715,NA,NA
2002_NAPL_1,2002,NAPL,1,48,0,7,2,0,43,0,0,0.669445105,0.430544422
2002_NAPL_2,2002,NAPL,2,69,0,23,2,0,68,0,0,0.636573961,0.407556021
2002_NAPL_3,2002,NAPL,3,6,0,3,2,0,169,0,0,0.636573961,0.407556021
2002_NAPL_4,2002,NAPL,4,0,0,2,2,0,8,0,0,0.636573961,0.407556021
2002_NAPL_5,2002,NAPL,5,54,2,12,2,0,70,0,0,0.636573961,0.407556021
2002_NAPL_6,2002,NAPL,6,0,0,2,2,4,138,0,0,0.636573961,0.407556021
2002_NAPL_7,2002,NAPL,7,69,0,14,2,0,89,0,0,0.636573961,0.407556021
2002_NAPL_8,2002,NAPL,8,8,0,4,2,3,97,0,0,0.636573961,0.407556021
2003_ABUR_1,2003,ABUR,1,48,681,11,14,80,0,0,0,0.73770451,0.372651271
2003_ABUR_2,2003,ABUR,2,0,31,2,13,80,0,0,0,NA,NA
2003_AHND_1,2003,AHND,1,0,0,2,2,80,0,0,0,0.587561043,0.268552509
2003_AHND_2,2003,AHND,2,249,350,35,17,23,82,0,0,0.609651202,0.281354847
2003_AQUE_1,2003,AQUE,1,1201,1048,46,56,0,2,196,283,0.648801362,0.304552163
2003_AQUE_2,2003,AQUE,2,1194,731,47,129,11,0,133,157,0.648801362,0.304552163
2003_AQUE_3,2003,AQUE,3,1040,1394,26,45,28,1,75,201,0.693325912,0.326802879
2003_AQUE_4,2003,AQUE,4,537,493,14,41,25,4,181.6666667,0,0.67630937,0.318176616
2003_AQUE_5,2003,AQUE,5,807,794,41,172,0,2,443.6666667,438,0.67630937,0.318176616
2003_AQUE_6,2003,AQUE,6,1011,734,31,35,7,0,316,381,0.668907932,0.314404528
2003_BULL_1,2003,BULL,1,645,315,30,21,9,1,243,680,0.726103799,0.329742359
2003_BULL_3,2003,BULL,3,250,201,10,16,0,0,82,465,0.726103799,0.329742359
2003_BULL_6,2003,BULL,6,731,50,19,14,2,0,254.6666667,897,0.726103799,0.329742359
2003_CARP_1,2003,CARP,1,1003,1398,125,116,0,97,0,NA,0.725182588,0.344663336
2003_CARP_2,2003,CARP,2,4,0,3,2,0,37,0,NA,0.725182588,0.344663336
2003_CARP_3,2003,CARP,3,232,0,51,2,0,76,0,NA,0.725182588,0.344663336
2003_CARP_4,2003,CARP,4,0,0,2,2,0,271,0,NA,0.725182588,0.344663336
2003_CARP_5,2003,CARP,5,0,0,2,2,0,225,0,NA,0.669233448,0.323206097
2003_CARP_6,2003,CARP,6,99,0,39,2,0,177,0,NA,0.725182588,0.344663336
2003_CARP_7,2003,CARP,7,48,12,24,2,1,66,0,NA,0.725182588,0.344663336
2003_CARP_8,2003,CARP,8,0,0,2,2,0,228,0,NA,0.669233448,0.323206097
2003_GOLB_1,2003,GOLB,1,733,573,57,8,25,18,0,0,0.535287242,0.235801013
2003_GOLB_2,2003,GOLB,2,1080,921,51,9,41,6,231.6666667,0,0.535287242,0.235801013
2003_IVEE_1,2003,IVEE,1,89,237,29,74,63,2,0,0,0.776719433,0.37661188
2003_IVEE_2,2003,IVEE,2,218,95,20,5,56,5,218.3333333,272,0.776719433,0.37661188
2003_MOHK_1,2003,MOHK,1,810,315,102,17,0,19,0,207,NA,NA
2003_MOHK_2,2003,MOHK,2,1554,1457,308,59,2,39,53,254,NA,NA
2003_NAPL_1,2003,NAPL,1,714,48,64,7,0,29,0,0,0.889233351,0.431660139
2003_NAPL_2,2003,NAPL,2,1050,69,87,23,0,4,94.33333333,0,0.835257333,0.407730811
2003_NAPL_3,2003,NAPL,3,364,6,32,3,0,80,211,254,0.835257333,0.407730811
2003_NAPL_4,2003,NAPL,4,400,0,85,2,0,1,0,0,0.835257333,0.407730811
2003_NAPL_5,2003,NAPL,5,950,54,58,12,0,2,0,0,0.835257333,0.407730811
2003_NAPL_6,2003,NAPL,6,269,0,70,2,2,30,77.66666667,0,0.835257333,0.407730811
2003_NAPL_7,2003,NAPL,7,549,69,41,14,0,2,0,0,0.835257333,0.407730811
2003_NAPL_8,2003,NAPL,8,269,8,54,4,1,32,126.6666667,0,0.835257333,0.407730811
2004_ABUR_1,2004,ABUR,1,68,48,23,11,62,0,0,0,0.660756274,0.381475905
2004_ABUR_2,2004,ABUR,2,0,0,2,2,80,0,0,0,NA,NA
2004_AHND_1,2004,AHND,1,0,0,2,2,74,0,0,0,0.506658481,0.255844033
2004_AHND_2,2004,AHND,2,295,249,14,35,48,57,200,0,0.527516778,0.268746733
2004_AQUE_1,2004,AQUE,1,484,1201,141,46,0,1,250,473,0.560621405,0.292924205
2004_AQUE_2,2004,AQUE,2,517,1194,52,47,2,3,231,260,0.560621405,0.292924205
2004_AQUE_3,2004,AQUE,3,610,1040,16,26,43,0,0,111.5,0.600831596,0.314569081
2004_AQUE_4,2004,AQUE,4,131,537,5,14,3,2,234,360,0.592726308,0.30649062
2004_AQUE_5,2004,AQUE,5,509,807,37,41,0,0,981,653,0.592726308,0.30649062
2004_AQUE_6,2004,AQUE,6,539,1011,28,31,0,1,629,555,0.579585902,0.302647029
2004_BULL_1,2004,BULL,1,35,645,9,30,20,0,0,0,0.592447643,0.309346572
2004_BULL_3,2004,BULL,3,2,250,2,10,1,0,0,0,0.592447643,0.309346572
2004_BULL_6,2004,BULL,6,26,731,9,19,22,0,0,0,0.592447643,0.309346572
2004_CARP_1,2004,CARP,1,483,1003,94,125,0,84,0,0,0.704213038,0.347607865
2004_CARP_2,2004,CARP,2,398,4,162,3,0,17,0,0,0.704213038,0.347607865
2004_CARP_3,2004,CARP,3,779,232,150,51,1,146,0,0,0.704213038,0.347607865
2004_CARP_4,2004,CARP,4,200,0,75,2,0,113,0,0,0.704213038,0.347607865
2004_CARP_5,2004,CARP,5,0,0,2,2,0,114,0,0,0.664092685,0.327611549
2004_CARP_6,2004,CARP,6,102,99,31,39,0,151,0,0,0.704213038,0.347607865
2004_CARP_7,2004,CARP,7,529,48,161,24,0,45,0,0,0.704213038,0.347607865
2004_CARP_8,2004,CARP,8,2,0,2,2,0,256,0,0,0.664092685,0.327611549
2004_GOLB_1,2004,GOLB,1,130,733,9,57,5,8,0,0,0.502064932,0.22874673
2004_GOLB_2,2004,GOLB,2,94,1080,13,51,18,16,0,0,0.502064932,0.22874673
2004_IVEE_1,2004,IVEE,1,67,89,8,29,0,0,0,170,0.732614608,0.368507976
2004_IVEE_2,2004,IVEE,2,310,218,59,20,0,0,0,216.5,0.732614608,0.368507976
2004_MOHK_1,2004,MOHK,1,996,810,179,102,0,23,0,232.5,NA,NA
2004_MOHK_2,2004,MOHK,2,384,1554,116,308,0,55,0,104.5,NA,NA
2004_NAPL_1,2004,NAPL,1,692,714,45,64,0,12,163,216,0.838016297,0.418458834
2004_NAPL_2,2004,NAPL,2,733,1050,97,87,0,5,118,346,0.782059978,0.395727338
2004_NAPL_3,2004,NAPL,3,445,364,67,32,0,136,243.5,337,0.782059978,0.395727338
2004_NAPL_4,2004,NAPL,4,160,400,17,85,16,102,0,177,0.782059978,0.395727338
2004_NAPL_5,2004,NAPL,5,131,950,14,58,0,1,150.5,0,0.782059978,0.395727338
2004_NAPL_6,2004,NAPL,6,253,269,32,70,0,8,690.5,0,0.782059978,0.395727338
2004_NAPL_7,2004,NAPL,7,744,549,130,41,1,5,0,0,0.782059978,0.395727338
2004_NAPL_8,2004,NAPL,8,296,269,38,54,0,33,0,0,0.782059978,0.395727338
2005_ABUR_1,2005,ABUR,1,282,68,45,23,43,0,0,0,0.744123521,0.342075945
2005_ABUR_2,2005,ABUR,2,37,0,9,2,52,0,0,0,NA,NA
2005_AHND_1,2005,AHND,1,2,0,2,2,80,0,0,NA,0.614153818,0.268543924
2005_AHND_2,2005,AHND,2,552,295,33,14,29,15,150,0,0.635100022,0.280191581
2005_AQUE_1,2005,AQUE,1,486,484,21,141,3,4,440.5,456,0.666648285,0.300772448
2005_AQUE_2,2005,AQUE,2,315,517,9,52,15,6,83,0,0.666648285,0.300772448
2005_AQUE_3,2005,AQUE,3,77,610,2,16,72,0,0,0,0.708798124,0.322120798
2005_AQUE_4,2005,AQUE,4,228,131,4,5,6,0,398,293,0.691433396,0.313590635
2005_AQUE_5,2005,AQUE,5,370,509,15,37,3,0,584,174,0.691433396,0.313590635
2005_AQUE_6,2005,AQUE,6,193,539,13,28,40,0,491.5,267,0.687105879,0.310027502
2005_BULL_1,2005,BULL,1,408,35,10,9,9,0,270,NA,0.770645144,0.331337575
2005_BULL_3,2005,BULL,3,140,2,8,2,7,0,109,NA,0.770645144,0.331337575
2005_BULL_6,2005,BULL,6,451,26,16,9,5,0,388,NA,0.770645144,0.331337575
2005_CARP_1,2005,CARP,1,2607,483,450,94,0,85,0,327,0.713834046,0.317813812
2005_CARP_2,2005,CARP,2,810,398,163,162,0,18,0,494,0.713834046,0.317813812
2005_CARP_3,2005,CARP,3,313,779,61,150,0,66,0,0,0.713834046,0.317813812
2005_CARP_4,2005,CARP,4,90,200,34,75,0,142,0,365,0.713834046,0.317813812
2005_CARP_5,2005,CARP,5,54,0,13,2,0,89,0,0,0.673971677,0.301236124
2005_CARP_6,2005,CARP,6,143,102,7,31,0,77,173,405,0.713834046,0.317813812
2005_CARP_7,2005,CARP,7,977,529,29,161,0,54,211.5,340,0.713834046,0.317813812
2005_CARP_8,2005,CARP,8,1005,2,202,2,0,91,0,359,0.673971677,0.301236124
2005_GOLB_1,2005,GOLB,1,49,130,13,9,74,0,0,0,0.575445782,0.232369293
2005_GOLB_2,2005,GOLB,2,192,94,30,13,48,22,0,0,0.575445782,0.232369293
2005_IVEE_1,2005,IVEE,1,27,67,3,8,65,0,418,239,0.788314204,0.363651498
2005_IVEE_2,2005,IVEE,2,882,310,44,59,6,1,401,261,0.788314204,0.363651498
2005_MOHK_1,2005,MOHK,1,40,996,17,179,0,23,136,0,NA,NA
2005_MOHK_2,2005,MOHK,2,376,384,14,116,1,109,411.5,0,NA,NA
2005_NAPL_1,2005,NAPL,1,964,692,46,45,0,13,74,0,0.886427026,0.413211694
2005_NAPL_2,2005,NAPL,2,595,733,40,97,0,28,74,0,0.839953432,0.392056071
2005_NAPL_3,2005,NAPL,3,207,445,55,67,0,82,123,0,0.839953432,0.392056071
2005_NAPL_4,2005,NAPL,4,277,160,7,17,0,1,80,0,0.839953432,0.392056071
2005_NAPL_5,2005,NAPL,5,416,131,29,14,0,0,0,0,0.839953432,0.392056071
2005_NAPL_6,2005,NAPL,6,306,253,21,32,0,0,0,0,0.839953432,0.392056071
2005_NAPL_7,2005,NAPL,7,678,744,99,130,0,5,0,0,0.839953432,0.392056071
2005_NAPL_8,2005,NAPL,8,343,296,71,38,0,13,0,0,0.839953432,0.392056071
2006_ABUR_1,2006,ABUR,1,13,282,2,45,80,0,0,0,0.7356322,0.354504597
2006_ABUR_2,2006,ABUR,2,2,37,2,9,52,0,0,0,0.765383632,0.367825158
2006_AHND_1,2006,AHND,1,0,2,2,2,80,0,0,0,0.62094725,0.265657853
2006_AHND_2,2006,AHND,2,384,552,30,33,42,0,0,0,0.639763078,0.278082388
2006_AQUE_1,2006,AQUE,1,605,486,237,21,0,0,134,66.5,0.668706496,0.301302214
2006_AQUE_2,2006,AQUE,2,982,315,42,9,10,1,268,146,0.668706496,0.301302214
2006_AQUE_3,2006,AQUE,3,372,77,9,2,48,0,215,0,0.716398643,0.32369899
2006_AQUE_4,2006,AQUE,4,382,228,15,4,36,0,315,89.5,0.698866829,0.315033395
2006_AQUE_5,2006,AQUE,5,154,370,8,15,24,0,314,137.5,0.698866829,0.315033395
2006_AQUE_6,2006,AQUE,6,129,193,8,13,0,1,478,91.5,0.688984045,0.311021123
2006_BULL_1,2006,BULL,1,455,408,18,10,0,0,NA,0,0.76512935,0.329205612
2006_BULL_3,2006,BULL,3,157,140,6,8,0,0,NA,0,0.76512935,0.329205612
2006_BULL_6,2006,BULL,6,125,451,37,16,5,0,NA,0,0.76512935,0.329205612
2006_CARP_1,2006,CARP,1,2186,2607,280,450,0,87,0,68,0.694226538,0.316434669
2006_CARP_2,2006,CARP,2,1064,810,42,163,0,2,356,689.5,0.694226538,0.316434669
2006_CARP_3,2006,CARP,3,2,313,2,61,0,83,0,0,0.694226538,0.316434669
2006_CARP_4,2006,CARP,4,10,90,4,34,0,132,0,0,0.694226538,0.316434669
2006_CARP_5,2006,CARP,5,2,54,2,13,0,66,0,0,0.661244726,0.298467406
2006_CARP_6,2006,CARP,6,0,143,2,7,0,66,0,0,0.694226538,0.316434669
2006_CARP_7,2006,CARP,7,2,977,2,29,0,65,0,0,0.694226538,0.316434669
2006_CARP_8,2006,CARP,8,602,1005,12,202,0,173,0,88.5,0.661244726,0.298467406
2006_GOLB_1,2006,GOLB,1,134,49,66,13,35,1,0,0,0.607881903,0.233127205
2006_GOLB_2,2006,GOLB,2,224,192,73,30,33,2,0,0,0.607881903,0.233127205
2006_IVEE_1,2006,IVEE,1,279,27,5,3,39,0,141,0,0.864205804,0.373206628
2006_IVEE_2,2006,IVEE,2,408,882,52,44,4,0,312,0,0.864205804,0.373206628
2006_MOHK_1,2006,MOHK,1,498,40,102,17,0,20,0,0,0.843095128,0.40740442
2006_MOHK_2,2006,MOHK,2,413,376,162,14,0,77,0,0,0.838561672,0.401920645
2006_NAPL_1,2006,NAPL,1,451,964,104,46,0,22,0,0,0.987128297,0.429347882
2006_NAPL_2,2006,NAPL,2,868,595,130,40,0,72,0,0,0.926384337,0.404802559
2006_NAPL_3,2006,NAPL,3,67,207,10,55,0,219,0,0,0.926384337,0.404802559
2006_NAPL_4,2006,NAPL,4,0,277,2,7,0,112,0,0,0.926384337,0.404802559
2006_NAPL_5,2006,NAPL,5,24,416,10,29,0,3,0,0,0.926384337,0.404802559
2006_NAPL_6,2006,NAPL,6,20,306,8,21,0,9,0,0,0.926384337,0.404802559
2006_NAPL_7,2006,NAPL,7,162,678,37,99,0,5,0,0,0.926384337,0.404802559
2006_NAPL_8,2006,NAPL,8,13,343,6,71,0,8,0,0,0.926384337,0.404802559
2007_ABUR_1,2007,ABUR,1,98,13,15,2,45,0,0,0,0.736232439,0.367851715
2007_ABUR_2,2007,ABUR,2,0,2,2,2,60,0,0,0,0.732701972,0.366841532
2007_AHND_1,2007,AHND,1,0,0,2,2,80,0,0,0,0.469126099,0.25826021
2007_AHND_2,2007,AHND,2,992,384,44,30,41,0,498.5,0,0.493796812,0.27169923
2007_AQUE_1,2007,AQUE,1,817,605,74,237,7,3,766.5,0,0.558378766,0.296626441
2007_AQUE_2,2007,AQUE,2,388,982,26,42,10,19,210,0,0.558378766,0.296626441
2007_AQUE_3,2007,AQUE,3,845,372,17,9,62,0,0,0,0.599731784,0.318935425
2007_AQUE_4,2007,AQUE,4,312,382,7,15,29,0,977.5,67,0.585112927,0.310659345
2007_AQUE_5,2007,AQUE,5,212,154,7,8,2,0,874.5,0,0.585112927,0.310659345
2007_AQUE_6,2007,AQUE,6,41,129,2,8,33,0,691.5,0,0.575944389,0.30690041
2007_BULL_1,2007,BULL,1,510,455,27,18,5,1,440.5,563,0.5616586,0.31070485
2007_BULL_3,2007,BULL,3,254,157,13,6,2,1,0,88,0.5616586,0.31070485
2007_BULL_6,2007,BULL,6,549,125,22,37,7,1,400,360,0.5616586,0.31070485
2007_CARP_1,2007,CARP,1,2704,2186,318,280,0,93,80.5,261.5,0.716186921,0.341310675
2007_CARP_2,2007,CARP,2,750,1064,57,42,0,7,337.5,291.5,0.716186921,0.341310675
2007_CARP_3,2007,CARP,3,0,2,2,2,0,61,0,72,0.716186921,0.341310675
2007_CARP_4,2007,CARP,4,4,10,3,4,0,104,0,77.5,0.716186921,0.341310675
2007_CARP_5,2007,CARP,5,471,2,31,2,0,55,0,0,0.675710879,0.320641418
2007_CARP_6,2007,CARP,6,2,0,2,2,0,73,0,82,0.716186921,0.341310675
2007_CARP_7,2007,CARP,7,558,2,17,2,0,107,241,132.5,0.716186921,0.341310675
2007_CARP_8,2007,CARP,8,812,602,40,12,0,71,0,90.5,0.675710879,0.320641418
2007_GOLB_1,2007,GOLB,1,759,134,21,66,41,15,385,0,0.476610395,0.231083358
2007_GOLB_2,2007,GOLB,2,962,224,24,73,32,9,258,0,0.476610395,0.231083358
2007_IVEE_1,2007,IVEE,1,582,279,25,5,48,0,397.5,71,0.738959056,0.376063229
2007_IVEE_2,2007,IVEE,2,690,408,29,52,9,0,622.5,0,0.738959056,0.376063229
2007_MOHK_1,2007,MOHK,1,520,498,19,102,0,45,670.5,253.5,0.814082344,0.409617236
2007_MOHK_2,2007,MOHK,2,1242,413,55,162,2,45,1101,111.5,0.803157,0.404718588
2007_NAPL_1,2007,NAPL,1,781,451,51,104,0,42,78.5,0,0.840573203,0.429190222
2007_NAPL_2,2007,NAPL,2,591,868,28,130,0,117,0,0,0.797319351,0.406577523
2007_NAPL_3,2007,NAPL,3,16,67,3,10,0,300,0,0,0.797319351,0.406577523
2007_NAPL_4,2007,NAPL,4,0,0,2,2,0,14,0,0,0.797319351,0.406577523
2007_NAPL_5,2007,NAPL,5,275,24,6,10,0,7,227.5,0,0.797319351,0.406577523
2007_NAPL_6,2007,NAPL,6,144,20,9,8,0,14,180,0,0.797319351,0.406577523
2007_NAPL_7,2007,NAPL,7,296,162,13,37,0,10,0,0,0.797319351,0.406577523
2007_NAPL_8,2007,NAPL,8,133,13,14,6,0,57,84.5,0,0.797319351,0.406577523
2008_ABUR_1,2008,ABUR,1,496,98,12,15,65,0,0,0,0.887783626,0.390100317
2008_ABUR_2,2008,ABUR,2,49,0,3,2,66,0,0,0,0.891835745,0.3859629
2008_AHND_1,2008,AHND,1,0,0,4,2,80,0,0,0,0.61845942,0.278441445
2008_AHND_2,2008,AHND,2,377,992,43,44,20,78,0,0,0.650713293,0.29221291
2008_AQUE_1,2008,AQUE,1,558,817,31,74,0,23,246.5,196.3333333,0.720148827,0.31793848
2008_AQUE_2,2008,AQUE,2,429,388,63,26,9,41,125.5,155,0.720148827,0.31793848
2008_AQUE_3,2008,AQUE,3,178,845,20,17,47,8,0,0,0.772317114,0.34126928
2008_AQUE_4,2008,AQUE,4,288,312,14,7,36,1,93.5,84.66666667,0.760957383,0.332648671
2008_AQUE_5,2008,AQUE,5,225,212,9,7,5,7,611,267.3333333,0.760957383,0.332648671
2008_AQUE_6,2008,AQUE,6,381,41,4,2,8,8,421.5,190,0.742608814,0.328301311
2008_BULL_1,2008,BULL,1,233,510,30,27,43,7,0,0,0.772823608,0.336188364
2008_BULL_3,2008,BULL,3,296,254,10,13,11,0,0,0,0.772823608,0.336188364
2008_BULL_6,2008,BULL,6,173,549,12,22,0,2,0,0,0.772823608,0.336188364
2008_CARP_1,2008,CARP,1,2235,2704,304,318,0,71,0,327.5,0.985328504,0.366373928
2008_CARP_2,2008,CARP,2,1623,750,44,57,0,0,299,776.5,0.985328504,0.366373928
2008_CARP_3,2008,CARP,3,322,0,93,2,0,38,0,0,0.985328504,0.366373928
2008_CARP_4,2008,CARP,4,1436,4,338,3,0,57,0,592,0.985328504,0.366373928
2008_CARP_5,2008,CARP,5,2044,471,387,31,0,30,0,491,0.918780787,0.34385688
2008_CARP_6,2008,CARP,6,0,2,4,2,0,101,0,0,0.985328504,0.366373928
2008_CARP_7,2008,CARP,7,0,558,4,17,3,92,0,0,0.985328504,0.366373928
2008_CARP_8,2008,CARP,8,1127,812,273,40,0,165,0,362,0.918780787,0.34385688
2008_GOLB_1,2008,GOLB,1,169,759,23,21,30,7,0,0,0.656143596,0.251089737
2008_GOLB_2,2008,GOLB,2,311,962,44,24,23,15,0,0,0.656143596,0.251089737
2008_IVEE_1,2008,IVEE,1,303,582,6,25,10,0,160,0,0.939887836,0.40175121
2008_IVEE_2,2008,IVEE,2,445,690,13,29,0,10,93.5,0,0.939887836,0.40175121
2008_MOHK_1,2008,MOHK,1,831,520,114,19,5,48,0,49,0.965492466,0.429470729
2008_MOHK_2,2008,MOHK,2,587,1242,59,55,0,56,0,0,0.938373625,0.423548376
