grazed,elev,stressmn,dol,par1,par2,par3,par4,par5,sol1,sol2,sol3,sol4,sol5,mass,mass2,masslog,rich,rich2,richlog
1,24.3,1.4667,3,0,0,0,0,1,0,0,0,1,0,117.6,13829.8,4.7758,13,169,1.1461
1,34.9,1.1583,3,0,0,0,1,0,0,0,1,0,0,298.09,88858.8,5.7008,9,81,1
1,18.5,1.0367,2,0,0,0,0,1,0,0,0,1,0,193.6,37481,5.2709,12,144,1.1139
1,39.4,1.4167,2,0,0,0,1,0,0,0,1,0,0,110.11,12124.7,4.7105,11,121,1.0792
1,14,1.7167,8,0,0,0,0,1,0,0,0,1,0,299.6,89760.2,5.7058,7,49,0.9031
1,14,2.0683,3,0,0,0,0,1,0,0,0,1,0,202.8,41127.8,5.3171,10,100,1.0414
1,40.3,2.5667,3,0,0,1,0,0,0,0,1,0,0,60.883,3706.8,4.1252,6,36,0.8451
1,40.3,2.425,4,0,0,0,0,1,0,0,1,0,0,82.4,6789.8,4.4236,10,100,1.0414
1,13.1,2.2683,6,0,0,0,0,0,0,0,0,1,0,292.8,85731.8,5.6829,7,49,0.9031
1,10.3,6.6833,4,0,0,0,0,0,0,0,0,1,0,434,188356,6.0753,8,64,0.9542
1,42.1,36.05,2.5,0,0,1,0,0,0,0,1,0,0,161.48,26074.2,5.0905,9,81,1
1,43,21.883,4.5,0,0,1,0,0,0,0,1,0,0,88.861,7896.2,4.4983,9,81,1
1,43,5.3833,3,0,1,0,0,0,0,0,1,0,0,91.2,8317.4,4.524,10,100,1.0414
1,8.5,6.1,8,0,0,0,0,1,0,0,0,1,0,225.6,50895.4,5.4232,14,196,1.1761
1,8.1,8.8333,6,0,0,0,0,0,0,0,0,1,0,244,59536,5.5013,11,121,1.0792
1,40.4,11.467,3,0,0,1,0,0,0,0,1,0,0,143.56,20610.9,4.9737,9,81,1
1,36.5,7.15,3,0,0,1,0,0,0,0,1,0,0,168.6,28427.3,5.1335,10,100,1.0414
1,28.2,9.9083,3,0,0,0,0,1,0,0,0,1,0,126,15876,4.8442,13,169,1.1461
1,7.3,16.283,5,0,0,0,0,1,0,0,0,1,0,190,36100,5.2523,8,64,0.9542
1,14.7,16.283,6,0,0,0,0,1,0,0,0,1,0,110.4,12188.2,4.7131,8,64,0.9542
1,30.2,23.083,2,0,0,0,0,1,0,0,0,1,0,64,4096,4.1744,7,49,0.9031
1,29,23.083,4,0,0,0,0,0,0,0,0,1,0,106,11236,4.6728,10,100,1.0414
1,25.4,24.45,2.5,0,0,0,0,1,0,0,0,1,0,138.8,19265.4,4.9402,9,81,1
1,22.6,34.433,3,0,0,0,0,1,0,0,0,1,0,132.8,17635.8,4.8963,7,49,0.9031
1,23.5,34.433,4,0,0,0,0,1,0,0,0,1,0,223.6,49997,5.4143,8,64,0.9542
1,23.8,33.5,6,0,0,0,0,1,0,0,0,1,0,212.4,45113.8,5.3632,6,36,0.8451
1,15.9,19.55,3.5,0,1,0,0,0,0,0,0,0,1,688.04,473393.5,6.5353,7,49,0.9031
1,31.9,4.4667,9,0,1,0,0,0,0,0,0,0,1,403.7,162976.9,6.0032,5,25,0.7782
1,40.4,1.4167,9,0,0,1,0,0,0,0,0,0,1,602.4,362880,6.4026,5,25,0.7782
1,40.4,1.4167,8.5,0,1,0,0,0,0,0,0,0,1,450.38,202840,6.1123,7,49,0.9031
1,40.4,1.45,7.5,0,1,0,0,0,0,0,0,0,1,186.8,34894.2,5.2354,7,49,0.9031
1,43.5,0.9867,9,0,0,0,0,1,0,0,0,0,1,175.6,30835.4,5.1739,6,36,0.8451
1,46.7,0.64,5.5,0,1,0,0,0,0,0,0,0,1,301.33,90801,5.7115,7,49,0.9031
1,49.8,0.4417,5.5,0,1,0,0,0,0,0,0,0,1,416.1,173135.9,6.0333,9,81,1
1,49.8,0.4417,7,0,1,0,0,0,0,0,0,0,1,230.4,53084.2,5.4441,8,64,0.9542
1,52.3,0.335,7,0,1,0,0,0,0,0,0,0,1,635.2,403479,6.4555,12,144,1.1139
1,50.4,0.4117,8.5,0,1,0,0,0,0,0,0,0,1,424.52,180215.9,6.0533,12,144,1.1139
1,49.7,0.3817,6.5,0,1,0,0,0,0,0,0,0,1,527.62,278378.6,6.2703,13,169,1.1461
1,49.7,0.4417,8,0,0,0,0,1,0,0,0,0,1,86.8,7534.2,4.4751,11,121,1.0792
1,49.9,0.425,1.1,0,1,0,0,0,0,0,0,0,1,113.6,12905,4.7414,9,81,1
1,50.1,0.4117,7,0,1,0,0,0,0,0,0,0,1,687.99,473328.6,6.5352,14,196,1.1761
1,50.2,0.4117,7.5,0,1,0,0,0,0,0,0,0,1,442.14,195491.3,6.0939,16,256,1.2304
1,51.4,0.3783,9,0,0,0,0,1,0,0,0,0,1,153.2,23470.2,5.0383,13,169,1.1461
1,52.6,0.3267,8,0,1,0,0,0,0,0,0,0,1,354.2,125455.4,5.8727,18,324,1.2788
1,54.9,0.2683,7.5,0,0,0,0,1,0,0,0,0,1,195.2,38103,5.2791,18,324,1.2788
1,56,0.2167,4,0,1,0,0,0,0,0,0,0,1,337.35,113803.7,5.8241,18,324,1.2788
1,66.4,0.07,6.5,0,1,0,0,0,0,0,0,0,1,144.8,20967,4.9822,17,289,1.2553
1,71.6,0.0333,5,0,1,0,0,0,0,0,0,0,1,270.78,73320.5,5.605,16,256,1.2304
1,82.6,0.0117,6,0,1,0,0,0,0,0,0,0,1,296.5,87914.6,5.6954,14,196,1.1761
1,83.2,0.0117,3.5,0,1,0,0,0,0,0,0,0,1,179.05,32059.6,5.1932,6,36,0.8451
1,83.2,0.0117,4,0,1,0,0,0,0,0,0,0,1,126.4,15977,4.8473,9,81,1
1,83.9,0.0117,6,0,1,0,0,0,0,0,0,0,1,55.776,3111,4.0391,9,81,1
1,84.5,0.01,3.5,0,1,0,0,0,0,0,0,0,1,90,8100,4.5109,11,121,1.0792
1,85.1,0.01,2.5,0,1,0,0,0,0,0,0,0,1,97.6,9525.8,4.5911,13,169,1.1461
1,88.8,0.0083,2.5,0,1,0,0,0,0,0,0,0,1,153.27,23490.6,5.0387,11,121,1.0792
1,92.4,0.0033,3,0,1,0,0,0,0,0,0,0,1,94.508,8931.8,4.5592,11,121,1.0792
1,92.4,0.005,4,1,0,0,0,0,0,0,0,0,1,125.2,15675,4.8379,14,196,1.1761
1,96.1,0,4,0,1,0,0,0,0,0,0,0,1,186.51,34785.2,5.2338,14,196,1.1761
1,99.7,0,3.5,0,1,0,0,0,0,0,0,0,1,155.62,24217.8,5.0538,10,100,1.0414
1,103.4,0,6,0,1,0,0,0,0,0,0,0,1,78.036,6089.6,4.3699,14,196,1.1761
1,99.6,0,4,0,1,0,0,0,0,0,0,0,1,96.328,9279.1,4.5781,12,144,1.1139
1,97.8,0,0.5,1,0,0,0,0,0,0,0,0,1,53.2,2830.2,3.9927,12,144,1.1139
1,95.9,0,6,0,1,0,0,0,0,0,0,0,1,120.14,14432.7,4.7969,14,196,1.1761
1,94,0.0017,0.5,1,0,0,0,0,0,0,0,0,1,176,30976,5.1761,17,289,1.2553
1,93.6,0.0017,1,0,1,0,0,0,0,0,0,0,1,79.056,6249.9,4.3827,12,144,1.1139
1,93.6,0.0033,0,1,0,0,0,0,0,0,0,0,1,81.6,6658.6,4.414,12,144,1.1139
1,92.4,0.0033,4,0,1,0,0,0,0,0,0,0,1,129.95,16886.5,4.8748,13,169,1.1461
1,92,0.005,5,0,1,0,0,0,0,0,0,0,1,76.472,5848,4.3499,11,121,1.0792
1,93.2,0.0033,3,0,1,0,0,0,0,0,0,0,1,197.6,39045.8,5.2913,14,196,1.1761
1,94.4,0.0017,3,0,1,0,0,0,0,0,0,0,1,180.8,32688.6,5.2029,11,121,1.0792
1,95.6,0,2.5,0,1,0,0,0,0,0,0,0,1,95.136,9050.9,4.5658,9,81,1
1,95.6,0,4.5,0,1,0,0,0,0,0,0,0,1,98,9604,4.5951,13,169,1.1461
1,98,0,3,0,1,0,0,0,0,0,0,0,1,64.652,4179.9,4.1844,14,196,1.1761
1,85.2,0.01,4,0,1,0,0,0,0,0,0,0,1,111.3,12386.8,4.7211,10,100,1.0414
1,-3.2,59.633,4,0,1,0,0,0,0,0,1,0,0,74,5476,4.3175,6,36,0.8451
1,-3.2,59.633,4,0,1,0,0,0,0,0,1,0,0,71.2,5069.4,4.2794,5,25,0.7782
1,-3.4,60,2,0,1,0,0,0,0,0,1,0,0,71.6,5126.6,4.285,5,25,0.7782
1,-3.7,60.783,4,0,1,0,0,0,0,0,1,0,0,41.2,1697.4,3.7424,6,36,0.8451
1,-1.7,56.283,3,0,1,0,0,0,0,0,1,0,0,127.6,16281.8,4.8567,3,9,0.6021
1,-1.7,56.283,3,0,1,0,0,0,0,0,1,0,0,138,19044,4.9345,4,16,0.699
1,0.6,50.85,1,0,1,0,0,0,0,0,1,0,0,84,7056,4.4427,4,16,0.699
1,2.8,45.933,5,0,1,0,0,0,0,0,1,0,0,189.6,35948.2,5.2502,5,25,0.7782
1,21.1,13.033,7,0,1,0,0,0,0,0,1,0,0,90.8,8244.6,4.5196,9,81,1
1,28,6.825,5,0,1,0,0,0,0,0,1,0,0,81.2,6593.4,4.4092,10,100,1.0414
1,29.1,6.05,7,0,1,0,0,0,0,0,1,0,0,67.2,4515.8,4.2224,12,144,1.1139
1,30.3,5.3167,4,0,1,0,0,0,0,0,1,0,0,92.8,8611.8,4.5412,12,144,1.1139
1,33.7,3.545,4,0,1,0,0,0,0,0,1,0,0,60,3600,4.1109,10,100,1.0414
1,37.2,2.27,5,0,1,0,0,0,0,0,1,0,0,33.2,1102.2,3.5322,11,121,1.0792
1,37.2,2.27,3,0,1,0,0,0,0,0,1,0,0,54,2916,4.0073,12,144,1.1139
1,37.6,2.1517,6,0,1,0,0,0,0,0,1,0,0,48.8,2381.4,3.908,13,169,1.1461
1,39.4,1.6667,5,0,0,0,0,1,0,0,1,0,0,56.4,3181,4.05,15,225,1.2041
1,41.3,1.2483,5,0,1,0,0,0,0,0,1,0,0,57.2,3271.8,4.0639,14,196,1.1761
1,37.8,2.1017,6,0,1,0,0,0,0,0,1,0,0,73.2,5358.2,4.3068,13,169,1.1461
1,36.4,2.5817,4.5,0,1,0,0,0,0,0,1,0,0,50.8,2580.6,3.9474,12,144,1.1139
1,42,1.155,7.5,0,1,0,0,0,0,0,1,0,0,151.2,22861.4,5.0252,13,169,1.1461
1,43.6,0.97,5.5,0,0,0,0,1,0,0,1,0,0,136,18496,4.92,15,225,1.2041
1,55.6,0.2417,5,0,1,0,0,0,0,0,1,0,0,71.2,5069.4,4.2794,17,289,1.2553
1,71.8,0.0417,3,0,0,0,0,0,0,0,1,0,0,24,576,3.2189,19,361,1.301
1,80.8,0.0133,4,0,0,0,0,0,0,0,1,0,0,108,11664,4.6913,13,169,1.1461
1,82.2,0.0117,4,0,0,0,0,0,0,0,1,0,0,19.6,384.16,3.0253,10,100,1.0414
0,2.5,46.717,0,0,1,0,0,0,0,0,0,0,1,561.2,314945.4,6.3319,8,64,0.9542
0,8.8,33.125,5.5,0,1,0,0,0,0,0,0,0,1,419.6,176064.2,6.0417,12,144,1.1139
0,12,26.517,2,0,1,0,0,0,0,0,0,0,1,470.53,221394.2,6.156,9,81,1
0,12,26.233,1,0,1,0,0,0,0,0,0,0,1,825.6,681615.4,6.7173,10,100,1.0414
0,18.2,16.683,2,0,1,0,0,0,0,0,0,0,1,553.43,306288.5,6.3179,10,100,1.0414
0,27.5,7.075,2,0,1,0,0,0,0,0,0,0,1,420.54,176853.4,6.0439,6,36,0.8451
0,26.8,7.6333,3,0,1,0,0,0,0,0,0,0,1,377.66,142625.6,5.9366,10,100,1.0414
0,26.8,7.05,2,0,1,0,0,0,0,0,0,0,1,237.2,56263.8,5.4731,14,196,1.1761
0,26.1,8.2333,6.5,0,1,0,0,0,0,0,0,0,1,294,86436,5.687,14,196,1.1761
0,25.5,8.6333,3.5,0,1,0,0,0,0,0,0,0,1,425.99,181467.3,6.0568,14,196,1.1761
0,24.8,9.4333,4,0,1,0,0,0,0,0,0,0,1,66.908,4476.7,4.2182,14,196,1.1761
0,24.2,9.8333,6,0,0,1,0,0,0,0,0,0,1,610.33,372502.2,6.4156,10,100,1.0414
0,24.4,9.8083,2,0,1,0,0,0,0,0,0,0,1,217.2,47175.8,5.3854,18,324,1.2788
0,24.5,9.6333,5,0,1,0,0,0,0,0,0,0,1,411.72,169517.3,6.0228,10,100,1.0414
0,24.7,9.4333,4,0,1,0,0,0,0,0,0,0,1,293.82,86327.8,5.6864,14,196,1.1761
0,24.8,9.4333,4,0,1,0,0,0,0,0,0,0,1,53.956,2911.2,4.0065,17,289,1.2553
0,26.1,8.2167,6,0,1,0,0,0,0,0,0,0,1,421.88,177986.1,6.0471,13,169,1.1461
0,27.4,7.1833,4,0,1,0,0,0,0,0,0,0,1,398.64,158913.8,5.9906,14,196,1.1761
0,28.7,6.275,5.5,0,1,0,0,0,0,0,0,0,1,411.13,169027.1,6.0213,13,169,1.1461
0,30,5.4833,3,0,1,0,0,0,0,0,0,0,1,156.8,24586.2,5.0613,17,289,1.2553
0,31.3,4.8333,3,0,1,0,0,0,0,0,0,0,1,290.57,84429.8,5.6753,18,324,1.2788
0,41.4,1.25,5,0,1,0,0,0,0,0,0,0,1,333.03,110910.6,5.8112,11,121,1.0792
0,46.1,0.6683,5,0,1,0,0,0,0,0,0,0,1,144,20736,4.9767,19,361,1.301
0,55.9,0.2167,3,0,1,0,0,0,0,0,0,0,1,219.33,48107.2,5.3951,16,256,1.2304
0,55.9,0.225,1.5,0,1,0,0,0,0,0,0,0,1,116.28,13521,4.7646,25,625,1.415
0,55.9,0.225,6,0,1,0,0,0,0,0,0,0,1,106.4,11321,4.6766,20,400,1.3222
0,55.5,0.2417,2,0,1,0,0,0,0,0,0,0,1,124.8,15575,4.8347,22,484,1.3617
0,55.3,0.2417,4.5,0,1,0,0,0,0,0,0,0,1,347.8,120964.8,5.8545,22,484,1.3617
0,55.3,0.2417,4,0,1,0,0,0,0,0,0,0,1,333.61,111295.8,5.813,19,361,1.301
0,55.3,0.2417,3,0,1,0,0,0,0,0,0,0,1,124,15376,4.8283,22,484,1.3617
0,59.9,0.1583,7,0,0,1,0,0,0,0,0,0,1,229.86,52835.6,5.4418,21,441,1.3424
0,59.9,0.1467,1,0,1,0,0,0,0,0,0,0,1,172,29584,5.1533,17,289,1.2553
0,59.9,0.1467,2,0,1,0,0,0,0,0,0,0,1,230,52900,5.4424,7,49,0.9031
0,84.3,0.01,2,0,1,0,0,0,0,0,0,0,1,174.4,30415.4,5.1671,13,169,1.1461
0,88.8,0.0083,5.5,0,1,0,0,0,0,0,0,0,1,163.22,26641.5,5.1012,16,256,1.2304
0,88.8,0.0083,4,0,1,0,0,0,0,0,0,0,1,208,43264,5.3423,18,324,1.2788
0,93.4,0.0033,6,0,1,0,0,0,0,0,0,0,1,361.6,130754.6,5.8933,15,225,1.2041
0,102.5,0,4,0,1,0,0,0,0,0,0,0,1,395.11,156111.1,5.9817,14,196,1.1761
0,102.5,0,7,0,1,0,0,0,0,0,0,0,1,254,64516,5.5413,11,121,1.0792
0,103.4,0,4,0,1,0,0,0,0,0,0,0,1,213.6,45625,5.3688,15,225,1.2041
0,103.4,0,5,0,1,0,0,0,0,0,0,0,1,226.4,51257,5.4267,13,169,1.1461
0,104.3,0,4.5,0,1,0,0,0,0,0,0,0,1,256.32,65699.9,5.5503,13,169,1.1461
0,105.2,0,3,0,1,0,0,0,0,0,0,0,1,215.63,46495.4,5.3782,13,169,1.1461
0,105.2,0,6,0,1,0,0,0,0,0,0,0,1,197.2,38887.8,5.2893,15,225,1.2041
0,106.1,0,6,0,1,0,0,0,0,0,0,0,1,281.31,79136.4,5.643,15,225,1.2041
0,106.1,0,4.5,0,1,0,0,0,0,0,0,0,1,264,69696,5.5797,19,361,1.301
0,107,0,5,0,1,0,0,0,0,0,0,0,1,314.83,99116.2,5.7552,15,225,1.2041
0,106,0,3,0,1,0,0,0,0,0,0,0,1,51.172,2618.6,3.9545,19,361,1.301
0,-4,61.4,4,0,0,0,0,1,1,0,0,0,0,333.6,111289,5.8129,3,9,0.6021
0,-1.2,54.817,3,0,0,0,0,1,1,0,0,0,0,196.4,38573,5.2852,3,9,0.6021
0,2,47.675,3,0,0,0,0,1,1,0,0,0,0,404.8,163863,6.0059,4,16,0.699
0,1.1,49.4,3,0,1,0,0,0,1,0,0,0,0,823.2,677658.2,6.7144,7,49,0.9031
0,27.6,50.217,3,0,0,0,0,1,1,0,0,0,0,115.6,13363.4,4.7587,9,81,1
0,0.8,32.517,6,0,0,0,0,1,1,0,0,0,0,162,26244,5.0938,8,64,0.9542
0,34.1,11.467,7,0,0,0,0,1,1,0,0,0,0,66.4,4409,4.2106,10,100,1.0414
0,30.1,13.375,4,0,0,0,0,1,1,0,0,0,0,142.4,20277.8,4.9656,8,64,0.9542
0,37.9,11.867,6,0,0,0,0,1,1,0,0,0,0,434,188356,6.0753,14,196,1.1761
0,35.5,7.1167,9,0,0,0,0,1,1,0,0,0,0,162,26244,5.0938,14,196,1.1761
0,39.5,3.41,6,0,0,0,0,1,1,0,0,0,0,398.4,158722.6,5.99,12,144,1.1139
0,38.5,5.4333,6,0,0,0,0,1,1,0,0,0,0,494.4,244431.4,6.2054,12,144,1.1139
0,57.1,2.8667,5.5,0,0,0,0,1,1,0,0,0,0,585.6,342927.4,6.3743,7,49,0.9031
0,57.1,1.625,6,0,0,0,0,1,1,0,0,0,0,142,20164,4.9628,12,144,1.1139
0,59.5,1.875,7,0,0,0,0,1,1,0,0,0,0,135.6,18387.4,4.9171,10,100,1.0414
0,61.5,0.1817,2,0,0,0,0,0,1,0,0,0,0,212,44944,5.3613,2,4,0.4771
0,61.5,0.1817,4.5,0,0,0,0,1,1,0,0,0,0,88,7744,4.4886,13,169,1.1461
0,22.6,0.165,5,0,0,0,0,1,1,0,0,0,0,112,12544,4.7274,9,81,1
0,20.8,0.1467,4,0,0,0,0,1,1,0,0,0,0,324,104976,5.7838,11,121,1.0792
0,25.5,0.1267,4,0,0,0,0,1,1,0,0,0,0,121.2,14689.4,4.8057,12,144,1.1139
0,22.2,0.1267,8,0,0,0,0,1,1,0,0,0,0,121.2,14689.4,4.8057,7,49,0.9031
0,-11.5,76.65,2,0,0,1,0,0,1,0,0,0,0,900,810000,6.8035,1,1,0.301
0,-11.5,76.65,3,0,0,1,0,0,1,0,0,0,0,620,384400,6.4313,2,4,0.4771
0,-11.5,76.65,2,0,0,1,0,0,1,0,0,0,0,788,620944,6.6708,1,1,0.301
0,-11.5,76.65,5,0,0,1,0,0,1,0,0,0,0,181.6,32978.6,5.2073,7,49,0.9031
0,-11.5,76.767,5,0,1,0,0,0,1,0,0,0,0,673.2,453198.2,6.5135,1,1,0.301
0,-11.5,76.65,5,0,0,1,0,0,1,0,0,0,0,1788,3196944,7.4894,1,1,0.301
0,-9,72.083,4,0,0,1,0,0,1,0,0,0,0,620,384400,6.4313,1,1,0.301
0,-9,72.083,4,0,0,1,0,0,1,0,0,0,0,944,891136,6.8512,1,1,0.301
0,-9,72.083,4,0,0,1,0,0,1,0,0,0,0,1340,1795600,7.2012,1,1,0.301
0,-1.5,55.35,2,0,0,1,0,0,1,0,0,0,0,586.8,344334.2,6.3764,4,16,0.699
0,-1.5,55.567,2,0,1,0,0,0,1,0,0,0,0,130.8,17108.6,4.8813,5,25,0.7782
0,1,49.717,4.5,0,0,1,0,0,1,0,0,0,0,510.4,260508.2,6.2372,7,49,0.9031
0,2,47.675,6,0,1,0,0,0,1,0,0,0,0,575.2,330855,6.3565,7,49,0.9031
0,13.5,23.967,7,0,0,1,0,0,1,0,0,0,0,326.8,106798.2,5.7924,9,81,1
0,13.5,23.967,7,0,0,1,0,0,1,0,0,0,0,396,156816,5.9839,14,196,1.1761
0,14.1,23.167,4,0,0,1,0,0,1,0,0,0,0,416.8,173722.2,6.035,10,100,1.0414
0,14.7,21.9,9,0,0,1,0,0,1,0,0,0,0,443.2,196426.2,6.0963,10,100,1.0414
0,14.7,21.883,9.9,0,1,0,0,0,1,0,0,0,0,218,47524,5.3891,10,100,1.0414
0,15.3,20.85,8.5,0,1,0,0,0,1,0,0,0,0,284,80656,5.6525,12,144,1.1139
0,15.9,19.55,7,0,0,1,0,0,1,0,0,0,0,339.6,115328.2,5.8307,11,121,1.0792
0,15.9,19.55,6,0,0,1,0,0,1,0,0,0,0,412.4,170073.8,6.0244,10,100,1.0414
0,16.5,18.9,8,0,0,1,0,0,1,0,0,0,0,262.8,69063.8,5.5752,9,81,1
0,19.5,14.817,8,0,0,1,0,0,1,0,0,0,0,335.2,112359,5.8177,10,100,1.0414
